報告書_id,文_id,動詞_id,名詞,助詞,動詞
112001768,15,7,高圧状態,に,なる
112001768,15,10,圧縮熱,で,なる
112001768,15,10,高温状態,に,なる
112001768,15,14,重合反応,を,起こす
112001768,16,4,高圧高温状態の解消,が,なす
112001768,16,7,潤滑油の劣化,が,進行する
112001768,16,11,上昇,に,因る
112001768,18,9,鉄・エンジン部品ニッケル,は,到達する
112001768,18,9,リン,は,到達する
112001768,18,9,亜鉛,は,到達する
112001768,18,9,カルシウム,は,到達する
112001768,18,9,ナトリウム,は,到達する
112001768,18,9,ホウ素,は,到達する
112001768,18,9,外部混入異物計数汚染度,は,到達する
112001768,18,9,当社推奨の管理限界値,に,到達する
112001768,18,13,重量汚染度,は,上昇する
112001768,18,13,当社推奨の管理限界値,を,上昇する
112001768,19,5,計数汚染度計数汚染度,は,到達する
112001768,19,5,NAS級,に,到達する
112001768,19,5,当社推奨の管理限界値のNAS級,に,到達する
112001768,20,5,重量汚染度,は,上昇する
112001768,20,5,mg/ml,を,上昇する
112001768,20,5,当社推奨の管理限界値のmg/ml,を,上昇する
112001768,21,1,光学顕微鏡写真重量汚染度,で,濾過する
112001768,21,5,濾過したフィルタ表面上の夾雑物,を,検出する
112001768,21,5,光学顕微鏡,で,検出する
112001768,21,9,鉄錆,が,検出する
112001768,21,9,砂,が,検出する
112001768,22,3,.~μmの範囲,に,ある
112001768,23,2,μm以下の粒子,が,多い
112001768,24,4,水分,は,ある
112001768,24,4,当社推奨の管理限界値の以下,に,ある
112001768,25,4,粘度,は,上昇する
112001768,25,4,当社推奨の管理限界値,を,上昇する
112001768,26,14,粘度,は,上昇する
112001768,26,14,当社推奨の管理限界値である±％,を,上昇する
112001768,27,5,低下の要因のひとつ,と,なる
112001768,27,19,潤滑油の分子,が,受ける
112001768,27,19,せん断作用,を,受ける
112001768,27,22,低下,は,考える
112001768,27,22,受け,,考える
112001768,27,22,低下したこと,,考える
112001768,30,6,使用油のスペクトルパターン,は,一致する
112002877,0,15,使用油のスペクトルパターン,が,一致する
112002877,2,3,減速機減速機,は,ある
112002877,2,3,継続使用可能な状態,に,ある
112002877,3,6,ギヤ歯面,で,発生する
112002877,3,6,軌道面,で,発生する
112002877,3,6,高圧・高温の箇所,が,発生する
112002877,4,5,油,と,一致する
112002877,4,12,異種油の混入,が,異なる
112002877,4,12,油名,が,異なる
112002877,5,3,設備の条件,に,ある
112002877,6,12,データの変化,から,発見する
112002877,6,12,異常の兆候,を,発見する
112002877,8,3,摩耗の進行,が,懸念する
112002877,9,11,機器の機能,を,保持する
112002877,11,2,今回のIs値,は,高い
112002877,13,2,高温,と,なる
112002877,16,5,リン,が,含む
112002877,17,3,リン,は,含む
112002877,17,3,圧添加剤,として,含む
112002877,18,4,金属表面,を,起こす
112002877,18,4,化学反応,を,起こす
112002877,18,7,金属,より,低下する
112002877,18,7,融点,,低下する
112002877,18,9,低い化合物,を,生成する
112002877,18,12,これ,が,働く
112002877,18,12,潤滑材,として,働く
112002877,18,14,圧添加剤,は,防止する
112002877,18,14,摩耗,を,防止する
112002877,19,4,リンの消耗,が,進行する
112002877,19,8,潤滑部,で,形成する
112002877,19,8,油膜,が,形成する
112002877,19,10,摩耗,が,進行する
112002877,23,1,光学顕微鏡写真重量汚染度,で,濾過する
112002877,23,5,濾過したフィルタ表面上の夾雑物,を,検出する
112002877,23,5,光学顕微鏡,で,検出する
112002877,23,13,粘ちょう物,が,検出する
112002877,23,13,金属片,が,検出する
112002877,23,13,鉄錆,が,検出する
112002877,23,13,砂,が,検出する
112002877,24,9,使用油のスペクトルパターン,が,一致する
112002877,25,14,粘度,は,上昇する
112002877,25,14,当社推奨の管理限界値である±％,を,上昇する
112002877,26,8,潤滑部,で,発生する
112002877,26,8,油膜切れ,が,発生する
112002877,26,11,摩耗の進行,に,進行する
112002877,29,5,使用油のスペクトルパターン,が,一致する
113000106,0,5,汚染度,が,高い
113000106,1,3,軸受,は,ある
113000106,1,3,継続使用可能な状態,に,ある
113000106,3,6,高い濃度,に,なる
113000106,4,10,油槽内,は,汚染する
113000106,4,10,これらの摩耗粒子,,汚染する
113000106,5,6,汚染粒子,で,進行する
113000106,5,6,摩耗,が,進行する
113000106,6,2,更油,を,する
113000106,6,5,油槽内,を,清掃する
113000106,6,9,油,,なる
113000106,6,9,NAS級程度,に,なる
113000106,7,10,データの変化,から,発見する
113000106,7,10,異常の兆候,を,発見する
113000106,11,2,今回のIs値,は,高い
113000106,13,1,繰返し応力,を,受ける
113000106,14,1,外部,から,混入する
113000106,16,13,鉄,は,上昇する
113000106,16,13,鉛,は,上昇する
113000106,16,13,銅,は,上昇する
113000106,16,13,錫,は,上昇する
113000106,16,13,亜鉛・軸受リン,は,上昇する
113000106,16,13,モリブデン・添加剤カルシウム,は,上昇する
113000106,16,13,バリウム,は,上昇する
113000106,16,13,アルミニウム,は,上昇する
113000106,16,13,ケイ素,は,上昇する
113000106,16,13,外部混入異物計数汚染度,は,上昇する
113000106,16,13,NAS級以上,を,上昇する
113000106,16,13,当社推奨の管理限界値,を,上昇する
113000106,17,9,フィルタ表面の異物観察,で,検出する
113000106,17,9,炭素の微粒子,が,検出する
113000106,17,12,汚染度,が,高い
113000106,17,18,外部混入異物の影響,と,考える
113000106,18,6,水分,は,良好
113000106,18,6,酸価,は,良好
113000106,18,6,IRのデータ,は,良好
113001446,1,3,粘度,が,低下する
113001446,2,8,油中の摩耗粒子,が,分散する
113001446,2,8,均一,に,分散する
113001446,2,14,目,に,なる
113001446,3,12,錫,が,検出する
113001446,3,17,これらの箇所,が,摩耗する
113001446,5,10,データの変化,から,発見する
113001446,5,10,異常の兆候,を,発見する
113001446,7,9,潤滑部,で,懸念する
113001446,7,9,摩耗の発生,が,懸念する
113001446,9,8,最適な試料油,は,出る
113001446,9,8,濃度,に,出る
113001446,11,4,粘度,は,ある
113001446,12,12,粘度,は,なる
113001446,12,12,変化率,が,なる
113001446,12,16,当社推奨の管理限界値である±％以内,に,ある
113001446,14,9,油,は,劣化する
113001446,16,12,金属片,が,含む
113001446,16,12,鉄錆,が,含む
113001446,16,12,砂,が,含む
113001446,18,1,光学顕微鏡写真重量汚染度,で,濾過する
113001446,18,5,濾過したフィルタ表面上の夾雑物,を,検出する
113001446,18,5,光学顕微鏡,で,検出する
113001446,18,11,金属片,が,検出する
113001446,18,11,すす,が,検出する
113001446,18,11,鉄錆,が,検出する
113001446,18,11,砂,が,検出する
113001446,19,3,.~μmの範囲,に,ある
113001446,20,2,μm以下の粒子,が,多い
113001446,28,2,金属接触,が,厳しい
113001446,28,6,高い摩擦熱,が,発生する
113001446,29,8,将来的な摩耗の進行,に,進行する
113001446,30,12,切削摩耗,は,考える
113001446,31,2,切削摩耗の原因,と,なる
113001446,31,4,混入異物,が,残留する
113001446,33,6,摺動面での金属同士の接触時,に,起こる
113001446,33,10,高い摩擦熱,で,酸化する
113001446,33,10,鉄,が,酸化する
113001446,33,11,摩耗粒子,は,発生する
113001446,34,6,摺動面,で,発生する
113001446,34,6,焼付,が,発生する
113001446,34,9,設備の損傷,に,至る
113001446,36,18,鉄,で,検出する
113001446,36,18,鉛,で,検出する
113001446,36,18,銅,で,検出する
113001446,36,18,クロム,で,検出する
113001446,36,18,アンチモン,で,検出する
113001446,36,18,ニッケル,で,検出する
113001446,36,18,錫・エンジン部品リン,で,検出する
113001446,36,18,亜鉛,で,検出する
113001446,36,18,カルシウム・添加剤アルミニウム,で,検出する
113001446,36,18,ケイ素,で,検出する
113001446,36,18,ナトリウム,で,検出する
113001446,36,18,マグネシウム,で,検出する
113001446,36,18,モリブデン・外部混入異物クランクメタルの摩耗SOAP-T,で,検出する
113001446,36,18,錫,が,検出する
113001446,36,18,ppm,が,検出する
113001446,36,18,ニッケル,が,検出する
113001446,36,18,銅,が,検出する
113001446,36,22,クランクメタル表面,に,発生する
113001446,36,22,摩耗,が,発生する
113001446,37,3,ディーゼルエンジンのクランクメタル,は,なる
113001446,37,3,積層構造,に,なる
113001446,37,7,クランクメタルの表面,は,存在する
113001446,37,7,ホワイトメタル層,が,存在する
113001446,37,18,下,に,存在する
113001446,37,18,下,に,存在する
113001446,37,18,銅,が,存在する
113001446,37,18,鉛の合金であるケルメット層,が,存在する
113001446,38,5,油膜,が,形成する
113001446,38,11,通常の使用,で,摩耗する
113001446,38,12,ディーゼルエンジンのメタル,は,考える
113001446,38,16,流体潤滑,に,なる
113001446,38,18,メタルの潤滑部,に,発生する
113001446,38,21,メタル表面の軟質金属部,が,摩耗する
113001446,38,26,下のニッケル部,まで,摩耗する
113001446,38,36,バックメタルの銅,が,検出する
113001446,39,2,摩耗,が,進行する
113001446,39,6,軸受,が,起こす
113001446,39,6,焼付,を,起こす
113001980,0,3,対象設備,は,ある
113001980,0,3,継続使用可能な状態,に,ある
113001980,3,7,潤滑油潤滑油,は,出来る
113001980,6,1,油,,粘い
113001980,8,4,許容範囲内,に,ある
113001980,8,10,摺動部の摩耗,が,認める
113001980,10,2,Is値,は,高い
113001980,14,6,異常摩耗,へ,進行する
113001980,17,18,鉄,で,検出する
113001980,17,18,鉛,で,検出する
113001980,17,18,銅,で,検出する
113001980,17,18,アンチモン,で,検出する
113001980,17,18,錫・エンジン部品リン,で,検出する
113001980,17,18,亜鉛,で,検出する
113001980,17,18,カルシウム,で,検出する
113001980,17,18,マグネシウム・添加剤アルミニウム,で,検出する
113001980,17,18,ナトリウム,で,検出する
113001980,17,18,モリブデン・外部混入異物コンロッドメタル,で,検出する
113001980,17,18,クランクメタルの摩耗SOAP-T,で,検出する
113001980,17,18,錫,が,検出する
113001980,17,18,ppm,が,検出する
113001980,17,18,鉛,が,検出する
113001980,17,18,ppm,が,検出する
113001980,17,18,アンチモン,が,検出する
113001980,17,18,銅,が,検出する
113001980,17,22,コンロッドメタル,が,摩耗する
113001980,17,22,クランクメタル,が,摩耗する
113001980,19,3,固形カルシウム化合物の生成SOAP-T,で,検出する
113001980,19,3,カルシウム,が,検出する
113001980,20,1,ディーゼルエンジンオイル中,に,検出する
113001980,20,4,燃焼ガス中,に,含む
113001980,20,6,硫黄分,と,反応する
113001980,20,11,カルシウム,は,生成する
113001980,20,11,石膏,が,生成する
113001980,24,4,水分,は,良好
113002696,0,2,汚染度,が,高い
113002696,1,2,~μmサイズの粒子数,が,多い
113002696,1,5,潤滑油,に,添加する
113002696,1,10,モリブデンの影響,で,なる
113002696,1,10,高い値,と,なる
113002696,2,3,対象設備,は,ある
113002696,2,3,継続使用可能な状態,に,ある
113002696,5,10,アンチモン,が,検出する
113002696,5,10,アルミニウム,が,検出する
113002696,5,10,高い濃度,で,検出する
113002696,6,6,耐熱性,を,上げる
113002696,6,10,アンチモン,は,多い
113002696,8,10,部分の摩耗,,ある
113002696,10,3,潤滑部の摩耗,が,認める
113002696,13,3,フレーキングの発生,が,懸念する
113002696,15,5,高い摩擦熱,が,発生する
113002696,16,4,摩擦面,が,進行する
113002696,16,4,異常摩耗,へ,進行する
113002696,16,10,黒錆,は,考える
113002696,18,1,水分,は,良好
113002696,19,2,計数汚染度計数汚染度,は,上回る
113002696,19,2,NAS級,を,上回る
113002696,19,5,当社推奨の管理限界値,を,上昇する
113002696,20,2,~μmサイズの粒子数,が,多い
113002696,20,5,潤滑油,に,添加する
113002696,20,10,モリブデンの影響,で,なる
113002696,20,10,高い値,と,なる
113002696,21,7,酸価,は,良好
113002696,21,7,IRのデータ,は,良好
113002698,0,2,汚染度,が,高い
113002698,1,2,~μmサイズの粒子数,が,多い
113002698,1,5,潤滑油,に,添加する
113002698,1,10,モリブデンの影響,で,なる
113002698,1,10,高い値,と,なる
113002698,2,3,減速機減速機,は,ある
113002698,2,3,継続使用可能な状態,に,ある
113002698,5,5,異常摩耗の早期発見のパラメータであるIs値,は,良好
113002698,6,3,潤滑部の摩耗,が,認める
113002698,10,4,フレーキング,が,懸念する
113002698,10,4,スポーリングの発生,が,懸念する
113002698,11,4,摩擦面,が,進行する
113002698,11,4,異常摩耗,へ,進行する
113002698,11,10,切削粒子,は,考える
113002698,14,6,接触点,は,なる
113002698,14,6,箇所,と,なる
113002698,16,5,接触点,で,発生する
113002698,16,5,摩耗,が,発生する
113002698,17,10,十分,に,小さい
113002698,18,7,ウォームホイール歯面,,深い
113002698,18,9,油量,から,計算する
113002698,18,9,ウォームホイールの仕様,から,計算する
113002698,18,9,濃度,から,計算する
113002698,19,8,ウォームホイールの枚の歯面のピッチ円周,に,摩耗する
113002698,19,8,mm幅,で,摩耗する
113002698,19,8,均等,に,摩耗する
113002698,19,30,材料,に,する
113002698,20,1,水分,は,良好
113002698,21,4,計数汚染度計数汚染度,は,到達する
113002698,21,4,NAS級,に,到達する
113002698,21,4,当社推奨の管理限界値,に,到達する
113002698,22,2,~μmサイズの粒子数,が,多い
113002698,22,5,潤滑油,に,添加する
113002698,22,10,モリブデンの影響,で,なる
113002698,22,10,高い値,と,なる
113002698,23,7,酸価,は,良好
113002698,23,7,IRのデータ,は,良好
113002926,0,3,潤滑油,は,ある
113002926,0,3,継続使用可能な状態,に,ある
113002926,1,3,増速機増速機,は,ある
113002926,1,3,継続使用可能な状態,に,ある
113002926,2,5,異常摩耗の早期発見のパラメータであるIs値,は,良好
113002926,3,6,摩耗粒子,が,検出する
113002926,4,3,疲労摩耗粒子,が,検出する
113002926,4,6,設備,は,稼動する
113002926,4,10,稼動し,から,残存する
113002926,4,10,いないこと,から,残存する
113002926,4,10,更油前の油,が,残存する
113002926,4,12,油中,に,含む
113002926,4,14,含まれ,が,検出する
113002926,4,14,いた疲労摩耗粒子,が,検出する
113002926,5,7,バックラッシの増加量,を,計算する
113002926,6,4,摩耗,が,発生する
113002926,7,5,約.バックラッシの初期値,が,不明
113002926,7,14,増加量の上限値,を,する
113002926,7,14,最小値の差,と,する
113002926,8,6,十分,に,小さい
113002926,9,4,設備,に,凝着する
113002926,9,4,μmサイズのインラインフィルタ,が,凝着する
113002926,9,8,μm以上の摩耗粒子,が,補足する
113002926,9,8,フィルタ,に,補足する
113002926,9,18,濃度の偏析,が,ある
113002926,9,26,参考値,として,考える
113002926,11,6,水分,を,吸収する
113002926,11,8,使用油であるAlphasynPG,は,ある
113002926,11,8,吸収しやすい特性,が,ある
113002926,12,4,分析結果SOAP-T添加剤成分であるリン,が,混入する
113002926,12,4,ppm,から,混入する
113002926,12,4,外部,から,混入する
113002926,13,7,SOAP-TFE,が,混入する
113002926,13,7,錫,が,混入する
113002926,13,7,亜鉛,が,混入する
113002926,13,7,添加剤成分であるリン,が,混入する
113002926,13,7,ppm,から,混入する
113002926,13,7,外部,から,混入する
113002926,13,11,アルミニウム,が,検出する
113002926,13,11,ナトリウム,が,検出する
113002926,14,7,フェログラフィー異常摩耗の早期発見パラメータであるフェログラフィーのIs値,が,ある
113002926,14,7,レベル,に,ある
113002926,14,7,良好の範囲,に,ある
113002926,15,14,当社推奨の管理限界値である±％以内,に,ある
