,,Similarity
添加剤 反応する,潤滑状態 エンジンオイルの添加剤との反応 厳しい,1.50540731024
油 混入する,異種油等の混入 油 異なる,1.5
摩耗 進行する,摩耗の進行 ギヤ油 早まる,1.5
摩耗 進行する,摩耗の進行 抑制する,1.5
摩耗 進行する,摩耗の進行 懸念する,1.5
摩耗の進行 進行する,異常な摩耗の進行 発生する,1.5
摩耗の進行 進行する,将来的な摩耗の進行 軸 転がる,1.5
摩耗 進行する,異常な摩耗の進行 発生する,1.5
摩耗の進行 進行する,軸受の摩耗の進行 懸念する,1.5
摩耗の進行 進行する,摩耗の進行 抑制する,1.5
摩耗の進行 進行する,使用した箇所での摩耗の進行 懸念する,1.5
摩耗の進行 進行する,外部 摩耗の進行 混入する,1.5
摩耗 進行する,軸受の摩耗の進行 懸念する,1.5
摩耗の進行 進行する,摩耗の進行 注意領域であること 懸念する,1.5
摩耗 進行する,摩擦摺動面の摩耗の進行 伴う,1.5
摩耗 進行する,摩耗の進行 注意領域であること 懸念する,1.5
摩耗の進行 進行する,摩擦摺動面の摩耗の進行 伴う,1.5
摩耗 進行する,外部 摩耗の進行 混入する,1.5
摩耗の進行 進行する,摩耗の進行 ギヤ油 早まる,1.5
摩耗 進行する,将来的な摩耗の進行 軸 転がる,1.5
油 混入する,油 水分の混入 汚染する,1.5
摩耗 進行する,使用した箇所での摩耗の進行 懸念する,1.5
銅 溶出する,潤滑油中の水分 銅の溶出 高い,1.48694853531
銅 溶出する,銅の溶出 発生する,1.48694853531
箇所 溶出する,使用した箇所の溶出 発生する,1.48694853531
油の添加剤成分 析出する,油の添加剤成分の析出 摩耗 発生する,1.45644280665
油の添加剤成分 析出する,増加し スラッジ 油の添加剤成分の析出 発生する,1.45644280665
油の添加剤成分 析出する,スラッジ 油の添加剤成分の析出 発生する,1.45644280665
油膜 形成する,過度の投与 油膜の形成 及ぼす,1.4553302765
油膜 形成する,油膜の形成 軸受表面 する,1.4553302765
金属 溶融する,溶融した場合 検出する,1.45406683935
油 劣化する,劣化 油劣化 進行する,1.4421141087
油 劣化 劣化する,計数汚染度 劣化 高い,1.4421141087
油 劣化 劣化する,劣化 スラッジ 進む,1.4421141087
油 劣化 劣化する,劣化 潤滑油 進行する,1.4421141087
油 劣化する,劣化 潤滑油 進行する,1.4421141087
油 劣化する,摩耗 劣化 進行する,1.4421141087
油 劣化 劣化する,汚染度 劣化 高い,1.4421141087
油 劣化 劣化する,劣化 油劣化 進行する,1.4421141087
油 劣化 劣化する,重量汚染度 劣化 高い,1.4421141087
油 劣化 劣化する,劣化 使用油 ある,1.4421141087
油 劣化 劣化する,基油の劣化 進行する,1.4421141087
油 劣化 劣化する,劣化した場合 発生する,1.4421141087
油 劣化する,基油の劣化 進行する,1.4421141087
油 劣化する,劣化 使用油 ある,1.4421141087
油 劣化する,計数汚染度 劣化 高い,1.4421141087
油 劣化する,重量汚染度 劣化 高い,1.4421141087
油 劣化 劣化する,摩耗 劣化 進行する,1.4421141087
粘度 低下する,粘度の低下 潤滑油 含む,1.4421141087
油 劣化する,劣化 スラッジ 進む,1.4421141087
油 劣化する,汚染度 劣化 高い,1.4421141087
粘度 低下する,粘度の低下 進行する,1.4421141087
新油の汚染度 同等,同等 新油の汚染度 ある,1.44059143858
濃度 増加する,酸化速度 鉛 濃度の増加 加速する,1.42279501184
油槽内 清掃する,油槽内の清掃 提案する,1.42149882333
歯車 構成する,歯車の構成 不明,1.3859414658
メタルのさ 計算する,鏡面 計算したメタルの仮定 なる,1.3657124189
メタルのさ 計算する,計算したメタルの仮定 軸受 粗い,1.3657124189
メタルのさ 計算する,計算したメタルの仮定 正しい,1.3657124189
メタルのさ 計算する,計算したメタルの仮定 潤滑油 正しい,1.3657124189
メタルのさ 計算する,計算したメタルの仮定 軸受 正しい,1.3657124189
配管 振動する,配管の異常振動 発生する,1.34513071143
振動 増大する,振動の増大 進行する,1.33333333333
摩耗 発生する,摩耗の発生 潤滑部 懸念する,1.33333333333
異常摩耗 進行する,異常な摩耗の進行 発生する,1.33333333333
粒子 発生する,発生した摩耗粒子 粒子の中 検出する,1.33333333333
摩耗 発生する,摺動面外 鉄錆 発生した摩耗 混入する,1.33333333333
粒子 発生する,発生した鉄錆等の粒子 潤滑部 噛む,1.33333333333
摩耗 発生する,摩耗 発生した錆 進行する,1.33333333333
摩耗 発生する,摩耗の発生 懸念する,1.33333333333
酸価 上昇する,全酸価の上昇 現れる,1.33333333333
酸価 上昇する,全酸価の上昇 発生する,1.33333333333
酸価 上昇する,極圧添加剤 全酸価の上昇 消耗する,1.33333333333
酸価 上昇する,全酸価の上昇 検出する,1.33333333333
軸受メタルのさ 計算する,計算した軸受メタルの仮定 濃度 軸受メタル 出る,1.30188509638
軸受メタルのさ 計算する,計算した軸受メタルの仮定 正しい,1.30188509638
軸受のさ 計算する,計算された余寿命 なる,1.26732299635
排油プラグ 沈殿する,沈殿し 排油プラグ 採取する,1.26359885278
軸受の摩耗 進行する,軸受の摩耗の進行 懸念する,1.25
外部 混入する,外部からの異物などの混入 検出する,1.23981246657
異物 混入する,異物 異物の混入 除去する,1.23981246657
異物 混入する,混入した異物 懸念する,1.23981246657
異物 混入する,混入した砂などの異物 潤滑状態 ある,1.23981246657
異物 混入する,混入した異物 検出する,1.23981246657
異物 混入する,混入した異物 潤滑状態 ある,1.23981246657
異物 混入する,混入した燃焼ガス 異物 なる,1.23981246657
異物 混入する,混入した異物の影響 考える,1.23981246657
異物 混入する,混入した砂などの異物 歯車 回転する,1.23981246657
異物 混入する,混入した砂などの異物 検出する,1.23981246657
粘度変化率 変化する,粘度変化率 変化 ある,1.23326850436
発生 低下する,粘度の低下 進行する,1.22629438553
潤滑油 酸化する,金属表面 酸化 剥がれる,1.22629438553
発生 低下する,低下した場合エンジンオイル内 混入する,1.22629438553
発生 低下する,ミル機能の低下 影響する,1.22629438553
発生 低下する,低下し 化合物 反応する,1.22629438553
発生 低下する,軸受寿命の低下 懸念する,1.22629438553
RBOT 上昇する,油 RBOTの上昇の原因 補充する,1.22014369888
摩耗粒子 発生する,発生した摩耗粒子 柔らかい樹脂軸受 埋め込む,1.2
摩耗粒子 発生する,発生した摩耗粒子 粒子の中 検出する,1.2
摩耗粒子 発生する,発生した摩耗粒子 軸受摺動面 噛む,1.2
摩耗粒子 発生する,発生した摩耗粒子 除去する,1.2
摩耗粒子 発生する,発生した摩耗粒子の部分 鉄 除去する,1.2
摩耗粒子 発生する,発生した大型の摩耗粒子 検出する,1.2
鉄 検出する,鉄 検出された各種元素の中 多い,1.2
摩耗粒子 発生する,発生した摩耗粒子 検出する,1.2
摩耗粒子 発生する,発生したベアリング鋼の摩耗粒子 動体表面 切削する,1.2
摩耗粒子 発生する,発生した摩耗粒子 対策油 採取する,1.2
摩耗粒子 発生する,摩耗粒子の発生 検出する,1.2
鉄 検出する,ギヤ歯面 検出された鉄 摩耗する,1.2
摩耗粒子 発生する,異物の角 発生した摩耗粒子 加える,1.2
摩耗粒子 発生する,発生したベアリング鋼の摩耗粒子 保持器 切削する,1.2
鉄 検出する,十分な余寿命 検出された鉄 ある,1.2
摩耗粒子 発生する,発生した摩耗粒子 フィルタ 捕捉する,1.2
摩耗粒子 発生する,発生した摩耗粒子 軸受内部 入り込む,1.2
鉄 検出する,検出された鉄 発生する,1.2
摩耗粒子 発生する,大型の摩耗粒子の発生 進行する,1.2
スラッジ 影響する,外部混入異物 スラッジの影響 鉄錆 起きる,1.18790182471
スラッジ 影響する,スラッジの影響 考える,1.18790182471
スラッジ 影響する,油膜 スラッジの影響 形成する,1.18790182471
スラッジ 影響する,ストレーナの目詰まり スラッジの影響 発生する,1.18790182471
スラッジ 影響する,バルブ類の動作障害 スラッジの影響 発生する,1.18790182471
異物 発生する,異物 異物 発生した凝着摩耗粒子 呼ぶ,1.13624256621
異物 検出する,異物 検出された金属 厳しい,1.13624256621
濃度 検出する,検出された濃度 バックラッシの増加量 計算する,1.13624256621
濃度 検出する,今後の劣化進行 検出された濃度 懸念する,1.13624256621
異物 検出する,異物 検出されたこれらの金属 厳しい,1.13624256621
リン 検出する,機械部品 検出されたリン ある,1.13624256621
外部 異物 混入する,外部からの異物などの混入 検出する,1.13624256621
切削摩耗 進行する,更なる切削摩耗の進行 懸念する,1.13082402065
粘度 油 低下する,粘度の低下 潤滑油 含む,1.12758283206
潤滑油 劣化する,重量汚染度 劣化 高い,1.12758283206
潤滑油 劣化する,油の劣化 懸念する,1.12758283206
潤滑油 劣化する,劣化 油劣化 進行する,1.12758283206
潤滑油 劣化する,劣化 使用油 ある,1.12758283206
潤滑油 劣化する,油の劣化 考える,1.12758283206
潤滑油 劣化する,油の劣化 発生する,1.12758283206
潤滑油 劣化する,基油の劣化 進行する,1.12758283206
潤滑油 劣化する,劣化 スラッジ 進む,1.12758283206
潤滑油 劣化する,汚染度 劣化 高い,1.12758283206
潤滑油 劣化する,劣化した場合 発生する,1.12758283206
潤滑油 劣化する,摩耗 劣化 進行する,1.12758283206
潤滑油 劣化する,劣化の兆候 現れる,1.12758283206
潤滑油 劣化する,油の劣化 進行する,1.12758283206
潤滑油 劣化する,計数汚染度 劣化 高い,1.12758283206
潤滑油 劣化する,劣化 油 進行する,1.12758283206
疲労摩耗 進行する,疲労摩耗の進行 懸念する,1.12240014441
使用した箇所の摩耗 進行する,使用した箇所での摩耗の進行 懸念する,1.12240014441
異物 砂 混入する,混入した砂などの異物 潤滑状態 ある,1.1134586823
異物 砂 混入する,混入した砂などの異物 歯車 回転する,1.1134586823
異物 砂 混入する,混入した砂などの異物 検出する,1.1134586823
NAS級 汚染する,NAS級の汚染された状態 なる,1.11111111111
NAS級 汚染する,当社推奨の管理限界値のNAS級 汚染 上昇する,1.11111111111
NAS級 汚染する,汚染 NAS級 汚染粒子数 ある,1.11111111111
メタルの主成分である錫 増加する,増加し 軸受メタルの摩耗 メタルの主成分である錫 進行する,1.10983207747
シール性 低下する,ピストンリングのシール性の低下 エンジンオイル中 関与する,1.10392690701
軸受メタルの主成分である錫 増加する,増加し 軸受の摩耗 軸受メタルの主成分である錫 進行する,1.10033953574
錫 発生する,錫の発生 考える,1.09720333959
錫 検出する,メタル軸受 検出された金属成分の錫 析出する,1.09720333959
錫 錫 検出する,メタル軸受 検出された金属成分の錫 析出する,1.09720333959
亜鉛 検出する,機械部品 検出された亜鉛 ある,1.08818458796
銅 検出する,継手部 検出された銅 外れる,1.08818458796
銅 検出する,検出された銅 潤滑油 イオン化する,1.08818458796
銅 検出する,検出された銅 軸受摩耗 発生する,1.08818458796
銅 検出する,検出された銅 考える,1.08818458796
箇所 摩耗する,診断結果使用油の塩基価 箇所の摩耗 ある,1.08818458796
箇所 摩耗する,箇所の摩耗 懸念する,1.08818458796
金属接触 発生する,金属接触 発生した赤錆 厳しい,1.08818458796
種油 混入する,異種油の混入 ある,1.0864244146
種油 混入する,異種油の混入 間違う,1.0864244146
種油 混入する,IR 異種油の混入 ある,1.0864244146
種油 混入する,異種油の混入 特性低下特性低下 ある,1.0864244146
種油 混入する,異種油の混入 考える,1.0864244146
種油 混入する,異種油の混入 分析結果特性低下特性低下 ある,1.0864244146
種油 混入する,異種油の混入 異なる,1.0864244146
潤滑部 発生する,摩耗の発生 潤滑部 懸念する,1.08177002879
潤滑部 発生する,発生した鉄錆等の粒子 潤滑部 噛む,1.08177002879
潤滑部 発生する,発生した鉄錆等の粒子等 潤滑部 噛む,1.08177002879
将来的な摩耗の進行 進行する,将来的な摩耗の進行 軸 転がる,1.07954940393
メタル 摩耗する,摩耗 メタルの主成分である錫 進行する,1.07692307692
メタル 摩耗する,メタルの摩耗 発生する,1.07692307692
メタル 摩耗する,メタルの摩耗 水分 進行する,1.07692307692
メタル 摩耗する,メタルの摩耗 油膜 進行する,1.07692307692
メタル 摩耗する,・メタルの摩耗軸受メタルの摩耗 摩耗 進行する,1.07692307692
メタル 摩耗する,摩耗 メタル 進行する,1.07692307692
メタル 摩耗する,メタルの摩耗 進行する,1.07692307692
メタル 摩耗する,メタルの摩耗 考える,1.07692307692
メタル 摩耗する,メタル 摩耗 鏡面 軸受表面 なる,1.07692307692
メタル 摩耗する,メタルの摩耗 油 進行する,1.07692307692
メタル 摩耗する,軸受メタルの摩耗 メタル 進行する,1.07692307692
メタル 摩耗する,メタルの摩耗 化合物 進行する,1.07692307692
メタル 摩耗する,摩耗 メタルの摩耗SOAP-T 進行する,1.07692307692
メタル 摩耗する,摩耗 ディーゼルエンジンのメタル 進行する,1.07692307692
メタル 摩耗する,メタル 摩耗 消滅する,1.07692307692
使用した箇所 摩耗する,使用した箇所の摩耗 進行する,1.07496336164
使用した箇所 摩耗する,箇所 使用した箇所の摩耗 ある,1.07496336164
使用した箇所 摩耗する,オイルリングの摩耗 使用した箇所 考える,1.07496336164
使用した箇所 摩耗する,使用した箇所の摩耗 懸念する,1.07496336164
使用した箇所 摩耗する,使用した箇所での摩耗の進行 懸念する,1.07496336164
使用した箇所 摩耗する,増加し 使用した箇所の摩耗 SOAP-T 進行する,1.07496336164
水分 増加する,増加し スラッジ 発生する,1.07448714736
水分 増加する,増加した理由 該当する,1.07448714736
水分 増加する,増加した理由 考える,1.07448714736
水分 増加する,摩耗粒子の増加 ある,1.07448714736
水分 増加する,汚染度の増加 伴う,1.07448714736
鉄 増加する,摩耗粒子の増加 ある,1.07448714736
Is値 増加する,汚染度の増加 伴う,1.07448714736
鉄 増加する,汚染度の増加 伴う,1.07448714736
汚染度 増加する,濃度の増加 伴う,1.07448714736
汚染度 増加する,スラッジ量の増加 検出する,1.07448714736
汚染度 増加する,摩耗粒子の増加 ある,1.07448714736
汚染度 増加する,増加した理由 考える,1.07448714736
汚染度 増加する,増加した理由 該当する,1.07448714736
汚染度 増加する,増加し スラッジ 発生する,1.07448714736
鉄 増加する,増加し スラッジ 発生する,1.07448714736
鉄 増加する,増加した理由 該当する,1.07448714736
鉄 増加する,増加した理由 考える,1.07448714736
鉄 増加する,スラッジ量の増加 検出する,1.07448714736
摩耗 潤滑部 発生する,摩耗の発生 潤滑部 懸念する,1.07027693482
機械部品 摩耗する,摩耗 機械部品 進行する,1.06999021071
切削摩耗 発生する,切削摩耗の発生 凝着摩耗 報告する,1.06999021071
切削摩耗 発生する,切削摩耗の発生 顕著,1.06999021071
切削摩耗 発生する,切削摩耗の発生 懸念する,1.06999021071
ギヤ歯面 摩耗する,摩耗 ギヤ歯面 発生する,1.06739576995
フレーキング 発生する,NAS級 フレーキングの発生 上回る,1.06739576995
傷 発生する,発生した傷 起点 なる,1.06739576995
フレーキング 発生する,・フレーキングの発生 転がる,1.06739576995
フレーキング 発生する,フレーキングの発生 懸念する,1.06739576995
銅 潤滑油 検出する,検出された銅 潤滑油 イオン化する,1.06518968568
汚染物 摩耗する,軸受メタルの摩耗 油中の汚染物 進行する,1.06518968568
フレッティング摩耗 進行する,ケイ素 フレッティング摩耗の進行 高い,1.06321599274
フレッティング摩耗 進行する,フレッティング摩耗の進行 懸念する,1.06321599274
軸受メタル 摩耗する,軸受メタルの摩耗 軸受メタルの主成分である錫 進行する,1.05882352941
軸受メタル 摩耗する,軸受メタルの摩耗 SOAP-T 進行する,1.05882352941
軸受メタル 摩耗する,軸受メタルの摩耗 定期的な分析凝着摩耗の進行 進行する,1.05882352941
軸受メタル 摩耗する,軸受メタルの摩耗 懸念する,1.05882352941
軸受メタル 摩耗する,軸受メタルの摩耗 厳しい金属接触 進行する,1.05882352941
軸受メタル 摩耗する,軸受メタルの摩耗 発生する,1.05882352941
軸受メタル 摩耗する,軸受メタルの摩耗 軸受の軟質金属 進行する,1.05882352941
軸受メタル 摩耗する,軸受メタルの摩耗 油 進行する,1.05882352941
軸受メタル 摩耗する,軸受メタルの摩耗 軸受メタルの成分である錫 進行する,1.05882352941
軸受メタル 摩耗する,軸受メタルの摩耗 潤滑油 進行する,1.05882352941
軸受メタル 摩耗する,今回の軸受メタルの摩耗 オーバーホール後 発生する,1.05882352941
軸受メタル 摩耗する,軸受メタルの摩耗 軸受軌道面 進行する,1.05882352941
軸受メタル 摩耗する,軸受メタルの摩耗 摩耗の進行 進行する,1.05882352941
軸受メタル 摩耗する,軸受メタルの摩耗 メタル 進行する,1.05882352941
軸受メタル 摩耗する,軸受メタルの摩耗 鉛 進行する,1.05882352941
軸受メタル 摩耗する,軸受メタルの摩耗 鉄 進行する,1.05882352941
軸受メタル 摩耗する,摩耗 軸受メタルの一部 発生する,1.05882352941
軸受メタル 摩耗する,軸受メタルの摩耗 油中の汚染物 進行する,1.05882352941
軸受メタル 摩耗する,軽度の摩耗 軸受メタルの一部 発生する,1.05882352941
軸受メタル 摩耗する,摩耗 軸受メタルの間 発生する,1.05882352941
軸受メタル 摩耗する,管理限界値内 軸受メタルの摩耗 ある,1.05882352941
軸受メタル 摩耗する,軸受メタルの摩耗 検出する,1.05882352941
軸受メタル 摩耗する,摩耗 軸受メタルの主成分である錫 進行する,1.05882352941
軸受メタル 摩耗する,軸受メタルの摩耗 ある,1.05882352941
軸受メタル 摩耗する,軸受メタルの摩耗 油中汚染物 進行する,1.05882352941
軸受メタル 摩耗する,軸受メタルの摩耗 錆 進行する,1.05882352941
軸受メタル 摩耗する,軸受メタルの摩耗 D-SOAPの錫 進行する,1.05882352941
軸受メタル 摩耗する,軸受メタルの摩耗 錫 進行する,1.05882352941
軸受メタル 摩耗する,軸受メタルの摩耗 使用油 進行する,1.05882352941
軸受メタル 摩耗する,軸受メタルの摩耗 進行する,1.05882352941
切削粒子 発生する,発生した切削粒子 検出する,1.05763738138
潤滑油中 検出する,潤滑油中 検出された金属 マイルド摩耗粒子 厳しい,1.0555811536
潤滑油中 検出する,潤滑油中 検出された金属 厳しい,1.0555811536
スラッジ 発生する,スラッジの発生 スラッジ 塞ぐ,1.05468152491
凝着摩耗 発生する,切削摩耗の発生 凝着摩耗 報告する,1.05308496231
疲労摩耗粒子 検出する,フリクションポリマ 検出された金属 疲労摩耗粒子 混入する,1.05237179329
疲労摩耗粒子 検出する,外部 検出された金属 疲労摩耗粒子 混入する,1.05237179329
応力 発生する,応力 発生した凝着摩耗部 集中する,1.05237179329
状況 発生する,発生しやすい状況 なる,1.0517067092
状況 発生する,発生しやすい状況 考える,1.0517067092
汚染度 鉄 増加する,汚染度 濃度の増加 高い,1.05092245436
汚染度 鉄 増加する,今後の汚染度の増加 伴う,1.05092245436
振動 発生する,振動 発生し いた場合 懸念する,1.05050056444
振動 摩耗する,振動 摩耗 高い,1.05050056444
振動 摩耗する,摩耗 振動 進行する,1.05050056444
フリクションポリマ 検出する,フリクションポリマ 検出された金属 疲労摩耗粒子 混入する,1.04943295534
化合物 摩耗する,摩耗 化合物 進行する,1.04894301687
化合物 摩耗する,潤滑箇所の摩耗 化合物 進行する,1.04894301687
化合物 摩耗する,メタルの摩耗 化合物 進行する,1.04894301687
腐食摩耗 発生する,腐食摩耗の発生 懸念する,1.04721975629
赤錆 発生する,発生した赤錆 検出する,1.04683873358
赤錆 発生する,発生した赤錆 軸受軌道面 噛む,1.04683873358
赤錆 発生する,金属接触 発生した赤錆 厳しい,1.04683873358
赤錆 発生する,発生した赤錆 厳しい,1.04683873358
赤錆 発生する,発生した赤錆 軸受摺動面 噛む,1.04683873358
オイルリング 摩耗する,オイルリングの摩耗 懸念する,1.0445827341
オイルリング 摩耗する,オイルリングの摩耗 使用した箇所 考える,1.0445827341
オイルリング 摩耗する,オイルリングの摩耗 停止回数 関与する,1.0445827341
オイルリング 摩耗する,オイルリングの摩耗 砂 進行する,1.0445827341
オイルリング 摩耗する,摩耗 オイルリング 発生する,1.0445827341
オイルリング 摩耗する,オイルリングの摩耗 考える,1.0445827341
オイルリング 摩耗する,摩耗 オイルリングの摩耗オイルリング 発生する,1.0445827341
軸受表面 摩耗する,メタル 摩耗 鏡面 軸受表面 なる,1.04378719577
軸受表面 摩耗する,摩耗 鏡面 軸受表面 なる,1.04378719577
濃度 計算する,計算された余寿命 なる,1.04367039425
保持器 摩耗する,保持器の摩耗 進行する,1.04330082571
保持器 摩耗する,保持器の摩耗 懸念する,1.04330082571
保持器 摩耗する,今後保持器の摩耗 保持器の摩耗 進行する,1.04330082571
保持器 摩耗する,保持器の摩耗 錫 進行する,1.04330082571
保持器 摩耗する,保持器の摩耗 検出する,1.04330082571
保持器 摩耗する,動体とのギャップ 保持器の摩耗 大きい,1.04330082571
球状粒子 発生する,球状粒子の発生 鉄錆 認める,1.04076545757
ピストンリング 摩耗 摩耗する,ピストンリングの摩耗のパラメータ なる,1.03971788154
ピストンリング 摩耗 摩耗する,ピストンリングの摩耗 進行する,1.03971788154
ピストンリング 摩耗する,ピストンリングの摩耗 進行する,1.03971788154
ピストンリング 摩耗する,ピストンリングの摩耗のパラメータ なる,1.03971788154
コンロッドメタル 摩耗する,クランクメタルの摩耗 コンロッドメタル 油 進行する,1.03763746658
コンロッドメタル 摩耗する,クランクメタルの摩耗 コンロッドメタル 水分 進行する,1.03763746658
コンロッドメタル 摩耗する,コンロッドメタルの摩耗 与える,1.03763746658
音 発生する,入り込ん 異音の発生 進行する,1.03535978387
騒音 発生する,騒音の発生 進行する,1.03286208229
騒音 発生する,騒音の発生 発生し いた場合 懸念する,1.03286208229
騒音 発生する,騒音の発生 いた場合 いた場合 懸念する,1.03286208229
汚染粒子数 NAS級 汚染する,汚染 NAS級 汚染粒子数 ある,1.03216028912
トップリング 摩耗する,トップリングの摩耗 更油 進行する,1.03004279646
メタル成分 検出する,検出されたメタル成分 メタル摩耗の両方 発生する,1.02969147587
金属粒子 検出する,潤滑状態 検出された金属粒子 なる,1.02834513524
検出された金属粒子 検出する,潤滑状態 検出された金属粒子 なる,1.02834513524
マイルド摩耗粒子 検出する,潤滑油中 検出された金属 マイルド摩耗粒子 厳しい,1.02667653053
発電機軸受 摩耗する,摩耗 発電機軸受 集中する,1.02337537662
ストレーナの目詰まり 発生する,ストレーナの目詰まりの発生 進行する,1.02209112478
軸受メタル 軽度 摩耗する,軽度の摩耗 軸受メタルの一部 発生する,1.01791169788
成分 反応する,添加剤との反応 発生する,1.01081462048
成分 反応する,反応したため 考える,1.01081462048
成分 反応する,添加剤の反応 発生する,1.01081462048
添加剤 反応する,反応したため 考える,1.01081462048
当社推奨の管理限界値である+％ 粘度粘度 上昇する,当社推奨の管理限界値 粘度粘度 上昇する,1.0
当社推奨の管理限界値 計数汚染度 上昇する,当社推奨の管理限界値のNAS級 計数汚染度 上昇する,1.0
潤滑油 濃度 潤滑油 出る,油中粒子などの固形物 濃度 潤滑油 出る,1.0
疲労摩耗粒子 観察された粒子 検出する,観察された粒子 検出する,1.0
当社推奨の管理限界値 重量汚染度 上昇する,当社推奨の管理限界値 号機の重量汚染度 上昇する,1.0
当社推奨の管理限界値 重量汚染度 上昇する,NAS級 当社推奨の管理限界値 重量汚染度 上昇する,1.0
当社推奨の管理限界値 重量汚染度 上昇する,当社推奨の管理限界値のmg/ml 重量汚染度 上昇する,1.0
ppm ppm 亜鉛 黒錆 混入する,ppm 外部 亜鉛 黒錆 混入する,1.0
ppm 亜鉛 黒錆 混入する,ppm 外部 亜鉛 黒錆 混入する,1.0
ppm 亜鉛 黒錆 混入する,ppm ppm 亜鉛 黒錆 混入する,1.0
当社推奨の管理限界値である±％以内 粘度粘度 上昇する,当社推奨の管理限界値 粘度粘度 上昇する,1.0
当社推奨の管理限界値 計数汚染度 上昇する,当社推奨の管理限界値 計数汚染度・重量汚染度計数汚染度 上昇する,1.0
観察された粒子 検出する,粒子 観察された摩耗粒子の一部 検出する,1.0
当社推奨の管理限界値である±％ 粘度粘度 上昇する,当社推奨の管理限界値 粘度粘度 上昇する,1.0
当社推奨の管理限界値 計数汚染度 上昇する,NAS級 当社推奨の管理限界値 計数汚染度 上昇する,1.0
観察された粒子 検出する,μmサイズの粒子 観察された中 検出する,1.0
観察された粒子 検出する,μmサイズの粒子 観察され 検出する,1.0
観察された粒子 XMA 検出する,観察された粒子 検出する,1.0
潤滑油 濃度 潤滑油 出る,潤滑油 濃度 最適な試料油 出る,1.0
NAS級 ある,NAS級 変化 ある,1.0
外部 フリクションポリマ 混入する,ppm 外部 鉄 フリクションポリマ 混入する,1.0
NAS級 ある,外部混入異物 NAS級 カルシウム ある,1.0
