名詞クラス,名詞,co_freq
類,汚染要因,56
類,鉄系,55
類,分析目的,55
類,対象設備停止中,54
類,フェログラフィー摩耗粒子分析結果,54
類,運転中,53
類,油分析結果,50
類,同等,50
類,上昇原因,50
類,種類,49
類,スラッジ等,45
類,ケース,45
類,前回分析結果,44
類,油膜切れ発生原因,42
類,グリース中,42
類,ピストンリング等,40
類,黒化原因,38
類,摩耗分析結果,38
類,試料共,37
類,摩耗粒子等,37
類,表面層,36
類,因子,35
類,等,33
類,汚染度等級,33
類,初期段階,33
類,摩耗診断分析結果,32
類,作用,32
類,エンジンオイル中,31
類,出口共,30
類,通常運転中,29
類,増加要因,28
類,分散効果,28
類,スプール等,28
類,変色原因,27
類,関係,26
類,軸受ケース,25
類,用途,25
類,硫酸カルシウム等,24
類,発生源,24
類,系統,23
類,摩耗形態分析結果,23
類,一つ,23
類,バルブ類,23
類,ニッケル層,23
類,D級,23
類,試料中,21
類,次式,21
類,動作障害等,21
類,遠因,20
類,試験結果,20
類,潤滑状態下,19
類,上昇要因,19
類,カルシウム化合物等,18
類,連絡,17
類,ベアリングケース間,17
類,測定結果,16
類,前提条件,16
類,直接原因,15
類,仕様等,15
類,ベース,15
類,適用,14
類,NAS等級,14
類,潤滑中,13
類,同一,13
類,劣化等,13
類,主軸等,13
類,ハウジング間,13
類,鉄等,12
類,計算根拠,12
類,石炭等,12
類,油圧系統,12
類,摩耗状態潤滑油中,12
類,促進要因,12
類,すす等,12
類,配管中,11
類,起動時等,11
類,潤滑油等,11
類,消泡作用,11
類,格寿命式,11
類,更油ディーゼルエンジン中,11
類,分解性潤滑油等,11
類,一段階,11
類,ディーゼルエンジンオイル中,11
類,ギヤ歯面等,11
類,証明,10
類,解析結果,10
類,発生等,10
類,潤滑系統,10
類,摩耗粒子観察結果,10
類,主機運転中,10
類,一緒,10
類,ちょう物等,10
類,濾過機運転中,9
類,構造例,9
類,検討結果,9
類,制御系,9
類,カムローラ等,9
類,類似事例,8
類,赤錆等,8
類,誤り等,8
類,研究成果,8
類,海水中,8
類,油面レベル,8
類,油共,8
類,汚染物重量共,8
類,有水試験中,8
類,推定結果,8
類,投与効果,8
類,形態分析結果,8
類,年ヶ月間,8
類,半年間,8
類,初期的段階,8
類,三層,8
類,ボールネジ軌道面等,8
類,トライボ診断結果,8
類,データNAS級,8
類,チャンク等,8
類,黒化原因一般,7
類,材質等,7
類,有効,7
類,損傷原因,7
類,式計算結果,7
類,弁類,7
類,効力,7
類,切削粒子等,7
類,中期段階,7
類,ブッシュ等,7
類,フィルタ上,7
類,ピストン間,7
類,錫ベース,6
類,配管内壁等,6
類,連鎖,6
類,許容差,6
類,繊維等,6
類,粒子観察結果,6
類,確認粘度グレード,6
類,異種,6
類,注意レベル,6
類,材質色等,6
類,摩耗状態等,6
類,成分等,6
類,対策運転条件,6
類,増加原因,6
類,一致,6
類,ラインフィルタ等,6
類,ナトリウム級,6
類,ギヤ歯面間,6
類,NAS級レベル,6
類,IRパターン,6
類,逆,5
類,調整不足等,5
類,触媒作用,5
類,状況下,5
類,潤滑状態共,5
類,混入原因,5
類,指紋領域等,5
類,抜き油中,5
類,実績例,5
類,圧油中,5
類,分析結果分析結果,5
類,ブローライン,5
類,ブレーキ作用,5
類,ハウジング等,5
類,シリンダ内壁等,5
類,シビア粒子等,5
類,カムロール等,5
類,アンチモン等,5
類,高温下,4
類,雰囲気中,4
類,防錆油中,4
類,鉄錆砂等,4
類,進展段階,4
類,軸受軌道面等,4
類,軸受表面等,4
類,軸受摺動面等,4
類,軸受メタル間,4
類,荷重条件,4
類,箇所一般,4
類,発生元,4
類,発生事例,4
類,球状粒子等,4
類,濾過等,4
類,溶解効果,4
類,溶接等,4
類,減少要因,4
類,清浄分散効果,4
類,清掃中,4
類,混合状況等,4
類,混入等,4
類,油中金属濃度分析分析結果,4
類,汚染物中,4
類,水分等,4
類,段,4
類,有無油中汚染物中,4
類,更油等,4
類,更油後ヶ月間,4
類,支持部等,4
類,循環中,4
類,形態損傷原因,4
類,形,4
類,式式,4
類,巡視中,4
類,対策グリース中,4
類,外輪間,4
類,変動等,4
類,塵埃中,4
類,圧油系統,4
類,四層,4
類,切削バイト効果,4
類,内部要因,4
類,低下等,4
類,他社事例,4
類,亜鉛等,4
類,亜鉛メッキ等,4
類,二段階,4
類,二層,4
類,主軸スリープ間,4
類,主因,4
類,不一致,4
類,一般式,4
類,ラビング粒子等,4
類,ホワイトメタル種,4
類,スラッジ外部混入異物潤滑油中,4
類,スラスト軸受潤滑中,4
類,シリンダ摺動面等,4
類,サンプル中,4
類,コンクリート中,4
類,クーラエアベント共,4
類,カルシウム等,4
類,まとめ分析結果,4
類,はめあい面間,4
類,あまり差,4
類,IRスペクトルパターン,4
類,金属面間,3
類,酸価等,3
類,軸受メタルコンタクト,3
類,負荷試験中,3
類,設置有無採油箇所等,3
類,継続使用中,3
類,粒子等,3
類,点検油中,3
類,潤滑条件,3
類,油中摩耗粒子等,3
類,油パターン,3
類,沈降速度式,3
類,汚染度レベル,3
類,汚染原因,3
類,残油共,3
類,機機器停止中,3
類,日間,3
類,摺動面等,3
類,推奨管理基準,3
類,当たり等,3
類,区別,3
類,冷却効果,3
類,仮設タンク等,3
類,今回分析結果,3
類,ポンプ内部等,3
類,ペデスタル間,3
類,スラスト油中,3
類,ストレーナ等,3
類,クロム鋼等,3
類,キン等,3
類,はず,3
類,障害原因,2
類,限界値NAS級,2
類,閉塞原因,2
類,長期停止中,2
類,金属触媒作用,2
類,金属濃度等,2
類,配管等,2
類,軸振動等,2
類,軸受間,2
類,軸受潤滑油中,2
類,軸受支持部等,2
類,軸受共,2
類,軟質金属層,2
類,軌道面間,2
類,調整等,2
類,評価供試油中,2
類,観察分析結果分析結果,2
類,補給等,2
類,蛇管等,2
類,考察結果,2
類,縁,2
類,線形近似式,2
類,線形回帰式,2
類,結露水等,2
類,経緯主タービン設備EHC系統,2
類,精密濾過ディーゼルエンジン中,2
類,管理基,2
類,箇所軸受メタル等,2
類,種,2
類,砂鉄錆等,2
類,直接ケルメット層,2
類,目的前回分析結果,2
類,発生箇所等,2
類,疲労摩耗粒子等,2
類,異物観察結果,2
類,濾過濾過等,2
類,濾過中,2
類,潤滑油系統,2
類,浄油中,2
類,油量減少要因,2
類,油温上昇要因,2
類,油基,2
類,油圧源,2
類,汚染度物重量共,2
類,汚染度NAS等級,2
類,機器類,2
類,機器運転中,2
類,整合,2
類,撹拌中,2
類,摩擦下,2
類,推定原因,2
類,推奨目安,2
類,採油箇所違い,2
類,戻り油系統,2
類,後年間,2
類,当社推奨基準,2
類,年稼動相当,2
類,対策分析結果,2
類,密度式,2
類,定期点検中,2
類,定常運転中,2
類,外的要因,2
類,増大主機停止中,2
類,圧油配管中,2
類,図面等,2
類,回転中,2
類,動体間,2
類,劣化物等,2
類,前回同様NAS級,2
類,分子レベル,2
類,光学顕微鏡下,2
類,保持器等,2
類,使用上,2
類,今年度中,2
類,中期的段階,2
類,下層,2
類,上流,2
類,上式,2
類,一原因,2
類,ワイトメタル層,2
類,モデル,2
類,メタル間,2
類,メタル等,2
類,ミリポアフィルタ上,2
類,ベアリング等,2
類,プラント運転中,2
類,フレッティング摩耗等,2
類,フリクションポリマ等,2
類,フィルタ存在下,2
類,バルブ等,2
類,バルブスプール等,2
類,チャート上,2
類,スラッジ溶解効果,2
類,スラッジ中,2
類,クランクピンメタル等,2
類,ギヤ等,2
類,オイルリング等,2
類,オイルクーラー等,2
類,エアーブリーザー等,2
類,アルミ合金等,2
類,さ式,2
類,EHC系統,2
類,黒錆等,1
類,黒化原因黒化原因,1
類,音波洗浄機等,1
類,錫等,1
類,鉛共,1
類,金属片等,1
類,酸価計数汚染度重量汚染度光学顕微鏡写真IRRBOTフｪログラフｨｰSOAPD-SOAP-U同上分析結果分析結果,1
類,酸価汚染度NAS等級-ベビコン号重量汚染度光学顕微鏡写真IRフｪログラフｨｰSOAP/D-SOAPRBOT分析結果分析結果,1
類,酸価NAS等級重量汚染度赤外線吸収スペクトルフェログラフィーSOAPD-SOAP光学顕微鏡写真電子顕微鏡写真結果分析結果,1
類,配管内等,1
類,遠心力等,1
類,込み等,1
類,軸等,1
類,軸受メタルサイズ等,1
類,軌道面等,1
類,調査結果,1
類,調整油中,1
類,試料油分析結果,1
類,試料共通,1
類,計数結果,1
類,計数汚染度NAS級,1
類,見かけ上,1
類,荷重下,1
類,繊維状異物等,1
類,繊維分析結果,1
類,給油タンク共,1
類,結論分析結果,1
類,経緯＃G主機停止操作中,1
類,経緯運転中,1
類,組成分析分析結果分析結果,1
類,粉炭等,1
類,空気中,1
類,稼動中,1
類,稼働中,1
類,確認表分析結果,1
類,硬化処理層,1
類,相関,1
類,相互,1
類,直線回帰式,1
類,発電機停止操作中,1
類,異物試料油中,1
類,異物油中,1
類,異物存在下,1
類,点検中,1
類,炭素結合,1
類,潤滑状態採油条件,1
類,潤滑状態ギヤ歯面間,1
類,潤滑油黒化原因一般,1
類,潤滑油循環ポンプ稼動中,1
類,漏水等,1
類,減速機運転中,1
類,清掃等,1
類,添資料潤滑油分析結果,1
類,添加剤濃度表分析結果,1
類,洗浄液中,1
類,油脂類,1
類,油系統図等,1
類,油等,1
類,油槽内壁等,1
類,油循環ポンプ稼動中,1
類,油スペクトルパターン,1
類,機器完全停止中,1
類,構造図面等,1
類,極初期段階,1
類,検討表分析結果,1
類,検査結果,1
類,架橋現象等,1
類,来年度中,1
類,有無等,1
類,断熱効果,1
類,数値レベル,1
類,摩耗等,1
類,推定分析結果,1
類,接触面間,1
類,採油条件等,1
類,振動等,1
類,振動発生原因,1
類,投与方法等,1
類,形態等,1
類,弾性材料等,1
類,年程度効果,1
類,差圧上昇原因,1
類,対策内容運転中,1
類,存在下,1
類,始まり,1
類,大型金属粒子等,1
類,増加等,1
類,場合油系統,1
類,圧油装置停止中,1
類,圧油ポンプ稼動中,1
類,固形物等,1
類,動面間,1
類,動作不良原因,1
類,制御油系統,1
類,制御油中,1
類,別紙試験結果,1
類,初期~中期段階,1
類,分析油中,1
類,分析エンジン油中,1
類,凝着摩耗等,1
類,冷却管等,1
類,入口弁等,1
類,停止操作中,1
類,保持器間,1
類,依頼目的,1
類,使用材料等,1
類,今回比較,1
類,交互,1
類,上部スラスト潤滑油中,1
類,一条件,1
類,一因,1
類,一例,1
類,ランク,1
類,ラビリンス材等,1
類,ラビリンスシール間,1
類,ミスアライメント等,1
類,マシニングセンター油圧ライン,1
類,ポンプ運転中,1
類,ベアリングケース,1
類,フレーキング発生原因,1
類,フラッシング等,1
類,フェログラフィー結果,1
類,フィルタ等,1
類,フィルタ写真上,1
類,ピストリング等,1
類,ドレン配管中,1
類,ドレンバルブ配管中,1
類,データ相違,1
類,データ基,1
類,ディーゼルエンジンオイル等,1
類,タイプ,1
類,スリープ軸受等,1
類,スラストメタル間,1
類,システム中,1
類,コロアウターレース共,1
類,ケイ素一般,1
類,グレード,1
類,ギヤ共,1
類,ギャプ調整等,1
類,カバー,1
類,オーバーホール中,1
類,ウォームホイール共,1
類,ウェス等,1
類,まま,1
類,その他主機停止中,1
類,ことフィルタ上,1
類,ml中,1
類,X線分析装置分析結果分析結果,1
類,N-、N-、共,1
類,1・2・3共,1
量,Is値,10515
量,汚染度,6575
量,酸価,6352
量,計数汚染度,5519
量,濃度,5335
量,乗,5280
量,粘度,4478
量,重量汚染度,4115
量,NAS級,3287
量,管理限界値,3077
量,±％以内,3073
量,マイナス乗,2723
量,値,2604
量,油膜切れ,2508
量,潤滑部,2459
量,高温,2280
量,油名,1839
量,上限値,1546
量,一般,1488
量,中,1380
量,減少率,1369
量,初期値,1324
量,粘度粘度,1314
量,時間,1280
量,軸受摺動面,1238
量,潤滑状態指数,1220
量,NAS級以内,1096
量,ピーク,1073
量,以下,1043
量,増加量,1016
量,油槽内,1012
量,軸受軌道面,988
量,管理限界値内,944
量,計数汚染度計数汚染度,941
量,錫濃度,924
量,鉄濃度,897
量,濾過効率,877
量,十分,836
量,酸化安定度,789
量,銅濃度,785
量,の乗,780
量,部分,776
量,高目,775
量,ギヤ歯面,754
量,潤滑油中,728
量,金属潤滑部,727
量,摩耗進行速度,723
量,粒子数,696
量,摩耗速度,675
量,金属濃度,668
量,mg/ml以内,654
量,水分濃度,637
量,酸化速度,623
量,グリース名,608
量,油値,581
量,最短,562
量,摩耗程度,545
量,軌道面,543
量,摺動面,541
量,機器停止中,537
量,.mgKOH/g以内,510
量,サイズ,506
量,稼働時間,491
量,油槽中層部,482
量,平衡濃度,481
量,分の程度,479
量,フェログラフィーIs値,461
量,粘度指数,460
量,油値.mgKOH/g以内,459
量,mサイズ,453
量,塩基価,439
量,ヶ月以内,438
量,管理限界値以内,433
量,間,427
量,RBOT値,411
量,ベアリング軌道面,404
量,NAS級以上,400
量,分子,370
量,油中汚染度,363
量,粘度変化率,350
量,歯幅,344
量,粒子濃度,341
量,精度,340
量,稼働日数,327
量,摩耗体積,327
量,ちょう度,326
量,差,325
量,m程度,317
量,汚染粒子数,315
量,以上,315
量,基,307
量,直近,304
量,発生量,287
量,清浄度,285
量,油量,285
量,使用時間,279
量,以内,276
量,十二分,274
量,管理限界値以下,272
量,点,269
量,限界値,268
量,年,265
量,摩耗量,253
量,摩擦面,248
量,油循環中,244
量,参考値,244
量,回転数,241
量,外部混入異物計数汚染度,240
量,摩耗面積,235
量,採油時,234
量,油温,229
量,歯面,228
量,油量リットル,227
量,停止中,227
量,量,226
量,管理限界値±％以内,226
量,残量,226
量,シール部,224
量,過酷度,221
量,管理限界値min以上,217
量,光学顕微鏡写真重量汚染度,216
量,油カタログ値,215
量,分析時,211
量,運転時間,205
量,軸受温度,205
量,体積,204
量,油中,203
量,元,197
量,荷重,186
量,進行速度,179
量,程度,179
量,汚染度計数汚染度,179
量,管理基準値,178
量,汚染物重量,177
量,一部,173
量,最低,171
量,稼働率,170
量,減少量,169
量,排油口,168
量,残存量,163
量,燃焼室,162
量,汚染度物重量,161
量,吸収ピーク,158
量,油値.mgKOH/g以下,154
量,目,153
量,検時,149
量,油槽底部,143
量,油値mgKOH/g以下,142
量,摩耗過酷度,138
量,強度,138
量,管理基準以内,136
量,滴点,135
量,面積,134
量,管理目安内,134
量,継手部,131
量,範囲内,130
量,カルシウム濃度,129
量,NAS級以下,128
量,燃焼ガス中,127
量,バックラッシ増加量,127
量,変化率,126
量,ここ,123
量,粒子サイズ,122
量,波長,120
量,油中金属濃度,120
量,グリース値,118
量,フィルタ類,116
量,ISOVG規格内,114
量,配管内,113
量,発生粒子数,112
量,採油量,111
量,管理限界値mg/ml以内,110
量,接触点,109
量,数汚染度,108
量,当社基準値,108
量,主機停止中,108
量,濾過率,102
量,温度,102
量,管理限界値NAS級,101
量,度程度,101
量,管理限界値NAS級以内,100
量,油値以内,100
量,良好重量汚染度,98
量,良好計数汚染度,98
量,油値mgKOH/g以内,98
量,時,98
量,摩耗粒子金属潤滑部,98
量,こと計数汚染度,98
量,管理上限値,95
量,音,94
量,濾過精度,92
量,潤滑系統内,92
量,軸受箱,91
量,起動時,91
量,進行度,89
量,数値,88
量,倍,88
量,切削粒子金属潤滑部,87
量,万時間,87
量,ケルメット層,87
量,成分割合,86
量,前回NAS級,85
量,転動面,84
量,劣化速度,83
量,圧力,82
量,ホワイトメタル層,81
量,フェログラフィーIs値Is値,80
量,数,79
量,静摩擦係数,78
量,高め,77
量,級,77
量,残存率,76
量,摺動部,76
量,累積錫濃度,75
量,分母,75
量,一,75
量,潤滑面,74
量,推奨管理限界値,74
量,寸法,74
量,停止時,73
量,二,73
量,管理表中,72
量,測定値,72
量,配管取付け部,70
量,硫黄分,70
量,分析結果計数汚染度,70
量,良好ちょう度値,69
量,油種,69
量,試料油中,68
量,汚染度水分濃度,68
量,モジュール,68
量,平均時間,66
量,エンジン油中,66
量,いつ,65
量,mg/ml以下,65
量,染度,64
量,全体,64
量,許容範囲内,62
量,計算時,60
量,管理限界値以上,60
量,平衡速度,60
量,ちょう度ちょう度,60
量,ISOVG規格外,60
量,管理基準値内,58
量,フィルタグラム,58
量,速度,57
量,起動停止回数,56
量,表面積,56
量,油中粒子数,56
量,外輪外面軌道輪,56
量,増加分,56
量,通り,54
量,軸受摺動部分,54
量,規格値内,54
量,沈降速度,54
量,排油量,54
量,年間稼働率,54
量,対象設備停止中,54
量,均一濃度,54
量,フィルタサイズ,54
量,クランクメタル摺動面,54
量,~ヶ月以内,54
量,NAS級程度,54
量,運転再開後ヶ月以内,53
量,運転中,53
量,軸受箱排油口,53
量,累積濃度,52
量,起動停止時,51
量,組成割合,51
量,割合,51
量,比,49
量,モース硬度,48
量,廃油口,47
量,軌道輪,46
量,かき揚げ量,46
量,金属粒子濃度,45
量,使用限界,45
量,こと鉄濃度,45
量,％程度,44
量,限界,44
量,上昇角,44
量,m以下,43
量,管理限界値mg/ml以下,42
量,管理限界値NAS級以下,42
量,更油時,42
量,投与量,42
量,グリース中,42
量,mgKOH/g以内,42
量,限界使用時間,41
量,油中摩耗粒子濃度,41
量,完全,41
量,配管取付部,40
量,粘度指数粘度指数,40
量,数枚,40
量,振動値,40
量,度,40
量,回転,39
量,大勢,38
量,処置ちょう度値,38
量,摺動面積,37
量,表面層,36
量,点検時,36
量,混入電食,36
量,リットル,36
量,水分値,35
量,ランナーボス内,35
量,部分更油粘度,34
量,規格内,34
量,給油口,34
量,換算値,34
量,微量,34
量,固形分,34
量,動面,34
量,上昇程度,34
量,min以上,34
量,.mgKOH/g以下,34
量,良好水分値,33
量,最小限,33
量,平均回転数,33
量,rpm程度,33
量,粒度分布比,32
量,滴点滴点,32
量,廃油量,32
量,回,32
量,ニッケル部,32
量,クランクピンメタル摺動面,32
量,軟質金属部,31
量,汚染状況計数汚染度,31
量,上昇速度,31
量,エンジンオイル中,31
量,％以内,30
量,酸価値,30
量,軸受支持部,30
量,燃焼時,30
量,摩耗粒子サイズ,30
量,うち,30
量,通常運転中,29
量,設備油量,29
量,潤滑摺動面,29
量,分析実施時,29
量,内層部,29
量,開放点検時,28
量,起動開度,28
量,濾過時間,28
量,潤滑状態潤滑状態指数,28
量,油漏れ,28
量,始動時,28
量,ストローク幅,28
量,シリンダ直径,28
量,グリース値.mgKOH/g以内,28
量,設計許容値,27
量,相違点,27
量,潤滑摺動部,27
量,泡安定度,27
量,汚染粒子濃度,27
量,年度,27
量,カタログ値,27
量,~倍程度,27
量,軽度,26
量,検出量,26
量,摩耗粒子濃度,26
量,エンジン摺動部,26
量,ウォームホイール歯面,26
量,mgKOH/g以上,26
量,回転速度,25
量,全量抜き取り時,25
量,遊び,24
量,硫酸カルシウム濃度,24
量,潤滑部分,24
量,潤滑油系統内,24
量,更油粘度,24
量,摩擦係数,24
量,低め,24
量,ドレン配管内,24
量,オーバーホール時,24
量,アルミニウム濃度,24
量,ちょう度値,24
量,m前後,24
量,累積稼働時間,23
量,確認粘度,23
量,油中粒子濃度,23
量,多め,23
量,分解点検時,23
量,分析結果粘度,23
量,一つ,23
量,バルブ類,23
量,ニッケル層,23
量,cm程度,23
量,D級,23
量,重量,22
量,軸受サイズ,22
量,規格外,22
量,管理目安以内,22
量,流量,22
量,検出金属濃度,22
量,指数部,22
量,動粘度,22
量,劣化度,22
量,使用開始時,22
量,以外,22
量,サンプル瓶,22
量,試料中,21
量,補給油量,21
量,系統内,21
量,点検口,21
量,水分濃度水分濃度,21
量,歯数,21
量,接触時,21
量,レン穴,21
量,ランク清浄度,21
量,スラッジ量,21
量,限界値mgKOH/g以上,20
量,銅分,20
量,試料量,20
量,試料油量,20
量,管理下限値,20
量,発電時,20
量,滴,20
量,多く,20
量,増加率,20
量,停止時間,20
量,使用油名,20
量,ベアリング番号,20
量,シリンダ摺動面,20
量,軸受表面積,19
量,経緯,19
量,多量,19
量,供給量,19
量,バックラッシ増加分,19
量,通り濾過効率,18
量,稼動時間,18
量,格回転数,18
量,散乱強度,18
量,損傷程度,18
量,接触摩耗面積,18
量,クロム濃度,18
量,m以内,18
量,IR酸化度,18
量,設計値,17
量,管理限界値min以内,17
量,直径,17
量,接触部,17
量,両方,17
量,不足,17
量,ヶ月間隔,17
量,メッキ部分,17
量,メタルサイズ,17
量,ベアリングケース間,17
量,m未満,17
量,.時間,17
量,軸受油槽内,16
量,計算精度,16
量,結論汚染度,16
量,管理限界値mgKOH/g以上,16
量,濾過圧力,16
量,潤滑油中金属濃度,16
量,油層中層部,16
量,油値以下,16
量,振幅,16
量,三層目,16
量,レン口,16
量,メタル支持部,16
量,EMBEDExcel.Sheet.重量汚染度,16
量,面,15
量,記録,15
量,油中水分濃度,15
量,析出油中金属濃度,15
量,固形分濃度,15
量,吐出量,15
量,停止回数,15
量,グリース切れ,15
量,さ部分,15
量,限界稼働時間,14
量,軸受潤滑部,14
量,軸受内,14
量,系内,14
量,管理限界値.mgKOH/g以内,14
量,発生数,14
量,油充填時,14
量,水分量,14
量,式摩耗量,14
量,巡視時,14
量,定常運転時,14
量,全て管理基準内,14
量,仮設タンク内,14
量,集油槽内,13
量,限界起動回数,13
量,進行程度,13
量,許容値,13
量,組立時,13
量,粘度範囲内,13
量,管理限界,13
量,硬度,13
量,潤滑中,13
量,油中金属元素濃度,13
量,外部混入異物計数汚染度計数汚染度,13
量,低速,13
量,上限,13
量,ハウジング間,13
量,ドレン量,13
量,~倍,13
量,調整時,12
量,累計鉄濃度,12
量,管理基準値.mgKOH/g以内,12
量,潤滑油槽内,12
量,溶存量,12
量,油面,12
量,油値±％以内,12
量,油値.mgKOH/g以上,12
量,汚染度物重量汚染粒子数,12
量,有意差,12
量,支持部,12
量,摩耗状態潤滑油中,12
量,外輪軌道面,12
量,増加程度,12
量,増加割合,12
量,基準値,12
量,圧油槽内,12
量,台金部,12
量,分析結果酸価,12
量,交換ちょう度,12
量,中層部,12
量,パトロール時,12
量,ドレン口,12
量,オイルゲージ,12
量,mgKOH/g以下,12
量,kgf/cm以下,12
量,電食,11
量,配管中,11
量,進展速度,11
量,試運転時,11
量,診断精度,11
量,角,11
量,蓋,11
量,良好滴点,11
量,潤滑油汚染度,11
量,油槽排油口,11
量,油圧系統内,11
量,油圧システム全体,11
量,水車軸受温度,11
量,止弁動作時,11
量,更油ディーゼルエンジン中,11
量,時間時間,11
量,摩耗濃度,11
量,摩耗潤滑油系統内,11
量,推定値時間,11
量,採油時間,11
量,年以内,11
量,密度,11
量,大量,11
量,増加上限値,11
量,回数,11
量,周波数,11
量,亜鉛濃度,11
量,二分の一,11
量,ナトリウム外部混入異物計数汚染度,11
量,ディーゼルエンジンオイル中,11
量,ツバ部,11
量,ケース内,11
量,エンジン内,11
量,ml以上,11
量,高圧高温,10
量,軸受メタルサイズ,10
量,誤差,10
量,経過時間,10
量,累積金属濃度,10
量,粒径,10
量,粒子汚染度,10
量,粒子径,10
量,油分子,10
量,汚染水分濃度,10
量,次回トライボ診断実施時,10
量,更油RBOT値,10
量,数量,10
量,微小突起部,10
量,年程度,10
量,分析データ全般,10
量,主機運転中,10
量,モリブデン濃度,10
量,ピッチ円周,10
量,ドレンバルブ配管内,10
量,データシート,10
量,mm幅,10
量,.％程度,10
量,.m程度,10
量,飽和点,9
量,鏡面部,9
量,適正粘度,9
量,考察ベアリング軌道面,9
量,経緯ミル号,9
量,級以上,9
量,管理基本値,9
量,濾過機運転中,9
量,減肉量,9
量,注油口,9
量,油消費量,9
量,摩耗状態油中金属濃度,9
量,多数,9
量,含有量,9
量,別紙補給量,9
量,上昇粘度,9
量,三つ,9
量,ローラ軸潤滑油内,9
量,レン量,9
量,マイナス,9
量,バックラッシ許容値,9
量,これ以外,9
量,いくつ,9
量,~回程度,9
量,EMBEDExcel.Sheet.光学顕微鏡観察フィルタグラム,9
量,銅濃度増加速度,8
量,酸化劣化速度,8
量,通り累積錫濃度,8
量,通り使用限界,8
量,起動回数,8
量,規格値~mm/s以内,8
量,蒸気乳化度,8
量,若干高目,8
量,穴,8
量,確認油名,8
量,物理的性状グリース名,8
量,減少速度,8
量,海水中,8
量,油値-以下,8
量,沈降距離,8
量,汚染濃度,8
量,汚染度重量汚染度,8
量,気温,8
量,有水試験中,8
量,早目,8
量,摩耗粒子減少率,8
量,揚水時,8
量,式摩耗体積,8
量,年ヶ月間,8
量,外部混入異物余寿命評価Is値,8
量,双方,8
量,半年間,8
量,勘合部,8
量,効率,8
量,内輪,8
量,倍程度,8
量,予測精度,8
量,下限値,8
量,下層部,8
量,三層,8
量,メタル面積,8
量,メタル温度,8
量,メタル接触部面積,8
量,ポンプ吐出量,8
量,パッド枚数,8
量,データNAS級,8
量,スラスト荷重,8
量,オーバーサイズ,8
量,エンジン燃焼室,8
量,エンジン効率,8
量,ppm以下,8
量,min以下,8
量,ROH,8
量,RBOT以外,8
量,％平衡濃度到達時間,7
量,黒化原因一般,7
量,週間以内,7
量,軸受摺動部,7
量,補給口,7
量,若干濃度,7
量,確率,7
量,燃焼室内,7
量,潤滑状態ベアリング軌道面,7
量,汚染状態計数汚染度,7
量,検討粘度,7
量,摩耗軸受摺動面,7
量,接触幅,7
量,採油口,7
量,振動速度,7
量,弁類,7
量,度合い,7
量,大幅,7
量,場合エンジンオイル内,7
量,号,7
量,口,7
量,劣化状態粘度粘度,7
量,供給不足,7
量,中心粒径,7
量,下端部,7
量,レン部,7
量,メタル摺動面,7
量,ボールネジ軌道面,7
