,,Similarity
  銅系シビア粒子    受ける,  銅系シビア粒子    検出する,0.743985022899
  ・摩耗状態SOAP／D-SOAPの鉄 良好の範囲  ある,  ・摩耗状態SOAP／D-SOAPの鉄および錫濃度 良好の範囲  ある,0.74164788724
    異常摩耗  進行する,    摩耗の進行  進行する,0.739450315983
    油中汚染度状態 低下する,    油中汚染度状態 高い,0.737004576183
  値    高い,      高い値なる,0.732908566012
変化      検出する,    変化  ある,0.732454784765
     正常な潤滑状態 発生する,    正常な潤滑状態  ある,0.73126561109
     フレッティング 発生する,    フレッティング  ある,0.720533502949
    良好の範囲 異常摩耗の早期発見パラメータであるフェログラフィーのIs値がの乗ある,    良好の範囲 フェログラフィー異常摩耗の早期発見パラメータであるフェログラフィーのIs値がの乗ある,0.717204783053
  精密フィルタ    設置する,精密なフィルタの設置    設備 ある,0.700117906284
  異常摩耗の早期発見パラメータであるフェログラフィーのIs値 良好の範囲  ある,  フェログラフィー異常摩耗の早期発見パラメータであるフェログラフィーのIs値 良好の範囲  ある,0.694674726423
      この摩耗粒子なる,      摩耗粒子なる,0.694550804368
   異種油の混入   考える,種油      混入する,0.694132404838
     金属接触 検出する,  金属接触    発生する,0.688356754544
  異種油の混入    異なる,   異種油の混入   考える,0.682604555347
      この摩耗粒子なる,  この摩耗粒子    発生する,0.680591290915
  摩耗    進行する,摩耗の進行      懸念する,0.678672603437
  摩耗の進行    進行する,摩耗の進行      懸念する,0.678672603437
摩耗の進行      懸念する,    摩耗の進行  進行する,0.678672603437
      異常摩耗の早期発見パラメータであるフェログラフィーのIs値がの乗高い,      フェログラフィー異常摩耗の早期発見パラメータであるフェログラフィーのIs値がの乗高い,0.675744766029
  摩耗の進行    進行する,    異常摩耗  進行する,0.661924143945
  摩耗    進行する,    異常摩耗  進行する,0.661924143945
    潤滑状態  ある,    正常な潤滑状態  ある,0.659267357326
 鉄錆     混入する,  鉄錆    検出する,0.654890966218
     フレーキング 発生する,    フレーキング  進行する,0.653597832803
  カルシウム    検出する,  混入したカルシウム    検出する,0.651637914331
  約μmサイズのシビア粒子    検出する,  μmサイズの粒子    検出する,0.651446512578
  摩耗粒子    検出する,  発生した摩耗粒子    検出する,0.6511056142
  摩擦熱    高い,  観察されなかった摩擦熱    高い,0.648970977446
  異種油の混入    異なる,種油      混入する,0.648587601633
  異常摩耗の早期発見パラメータであるフェログラフィーのIs値 良好の範囲  ある,    良好の範囲 フェログラフィー異常摩耗の早期発見パラメータであるフェログラフィーのIs値がの乗ある,0.643414440163
    良好の範囲 異常摩耗の早期発見パラメータであるフェログラフィーのIs値がの乗ある,  フェログラフィー異常摩耗の早期発見パラメータであるフェログラフィーのIs値 良好の範囲  ある,0.643414440163
  当社推奨の管理限界値    上昇する,  当社推奨の管理限界値である±％    上昇する,0.642447635994
  砂    検出する,  混入した砂    検出する,0.642062146897
   シビア粒子   検出する,  シビア粒子    厳しい,0.641481462821
  シビア粒子    厳しい,  シビア粒子    検出する,0.641481462821
  消泡性能    低下する,  消泡性能    ある,0.632465226167
  銅    検出する, 銅     混入する,0.626535263806
ppm アンチモン  錫・エンジン部品リン 検出する,ppm 錫  アンチモン 検出する,0.625134753982
  μm未満の鉄系摩耗粒子    厳しい,疲労し 発生したμm未満の鉄系摩耗粒子    検出する,0.623859872509
      ギヤ歯面噛む,     ギヤ歯面 ある,0.623419726806
  異常摩耗の早期発見パラメータであるフェログラフィーのIs値 良好の範囲  ある,  フェログラフィーのIs値 良好の範囲  ある,0.621590023733
  金属接触    厳しい,     金属接触 検出する,0.612411308096
  ~μmサイズのシビア粒子    検出する,  約μmサイズのシビア粒子    検出する,0.606943618993
  摩耗の進行    ある,摩耗の進行      懸念する,0.606683591669
ppm 銅  錫・エンジン部品リン 検出する,ppm 錫  銅 検出する,0.601335265095
  発生した摩耗粒子    検出する,  この摩耗粒子    発生する,0.600615349087
      NAS級なる,      NAS級高い,0.598359644007
  全酸価 粘度 IR良好,  全酸価 ．粘度  良好,0.597551835027
  亜鉛    劣化する,  亜鉛    検出する,0.595513574732
      摩耗粒子なる,  摩耗粒子    検出する,0.592309579776
  金属接触    厳しい,  金属接触    発生する,0.591935091534
     フレーキング 発生する,フレーキング      懸念する,0.591061628811
    潤滑状態  ある,  潤滑状態    なる,0.589888335433
銅がppmアンチモン    混入する,ppm アンチモン  アンチモン 検出する,0.588951100698
  高い摩擦熱    発生する,  観察されなかった摩擦熱    高い,0.585647586218
  ~μmサイズのシビア粒子    検出する,  μmサイズの粒子    検出する,0.583474036164
    良好の範囲 異常摩耗の早期発見パラメータであるフェログラフィーのIs値がのマイナス乗ある,      異常摩耗の早期発見パラメータであるフェログラフィーのIs値がの乗良好,0.578913785888
  鉄    検出する, 鉄     混入する,0.57875344808
  全酸価のデータ 水分  良好,  全酸価のデータ 良好の範囲  ある,0.576562402921
    良好の範囲 フェログラフィー異常摩耗の早期発見パラメータであるフェログラフィーのIs値がの乗ある,      異常摩耗の早期発見パラメータであるフェログラフィーのIs値がの乗良好,0.568610888984
      異常摩耗の早期発見パラメータであるIs値がの乗高い,    異常摩耗の早期発見パラメータであるフェログラフィーのIs値  ある,0.568005878488
  摩耗の進行    ある,    異常摩耗  進行する,0.566834630637
      いたこと異常摩耗の早期発見パラメータであるフェログラフィーのIs値がの乗高い,    異常摩耗の早期発見パラメータであるフェログラフィーのIs値  ある,0.566726982462
  精密フィルタ    設置する,    精密フィルタ  捕捉する,0.565336274575
    良好の範囲 異常摩耗の早期発見パラメータであるフェログラフィーのIs値がの乗ある,  フェログラフィーのIs値 良好の範囲  ある,0.563162515189
フレーキング      懸念する,    フレーキング  進行する,0.562894707532
  濃度    上昇する,      濃度なる,0.558451378282
 ppm錫    混入する,ppm 錫  銅 検出する,0.550627395744
銅がppm錫    混入する,ppm 錫    検出する,0.550627395744
  油中粒子の沈降の影響    受ける,  油中粒子    沈降する,0.550509086948
    軸受メタル  深い,  軸受メタル    摩耗する,0.549441879455
    異常摩耗  進行する,摩耗の進行      懸念する,0.547698989864
   当社推奨の管理限界値のmg/ml以内重量汚染度  ある,  当社推奨の管理限界値 重量汚染度  上昇する,0.547496590226
    重量汚染度  上昇する,    重量汚染度  低下する,0.546384953619
  重量汚染度    上昇する,    重量汚染度  低下する,0.546384953619
ppm アンチモン  マグネシウム・外部混入異物コンロッドメタル或いはクランクメタルの摩耗SOAP-T 検出する,ppm アンチモン  クランクメタルの摩耗SOAP-T 検出する,0.545706082707
   当社推奨の管理限界値のNAS級以内計数汚染度  ある,  当社推奨の管理限界値 計数汚染度  上昇する,0.54508146723
    酸化防止剤  添加する,  酸化防止剤    消耗する,0.544643749489
  潤滑状態    厳しい,    潤滑状態  ある,0.540576023978
      Is値なる,    Is値  高い,0.537144096406
  リン    検出する,  リン    含む,0.534854312358
  精密なフィルタ 設備  常設する,精密なフィルタの設置    設備 ある,0.531431913751
  Is値    上昇する,      Is値なる,0.530609029581
ppm 錫  マグネシウム・外部混入異物コンロッドメタル或いはクランクメタルの摩耗SOAP-T 検出する,ppm 錫  クランクメタルの摩耗SOAP-T 検出する,0.530106562573
ppm 銅  マグネシウム・外部混入異物コンロッドメタル或いはクランクメタルの摩耗SOAP-T 検出する,ppm 銅  クランクメタルの摩耗SOAP-T 検出する,0.529832705513
      いたこと異常摩耗の早期発見パラメータであるフェログラフィーのIs値がの乗高い,      フェログラフィー異常摩耗の早期発見パラメータであるフェログラフィーのIs値がの乗高い,0.527752159617
  フェログラフィーのIs値    厳しい,  潤滑状態   フェログラフィーのIs値なる,0.523525583243
軸受メタルの摩耗の進行      懸念する,  軸受メタル    摩耗する,0.522257615359
銅がppm錫    混入する,ppm 銅  錫・エンジン部品リン 検出する,0.521615568279
 ギヤ歯面粒子    発生する,     ギヤ歯面 ある,0.521133903421
  Is値    上昇する,    Is値  高い,0.520920349953
     正常な潤滑状態 発生する,  厳しい潤滑状態    発生する,0.520103679368
   摩耗粒子の形態観察   発生する,  球状粒子  摩耗粒子の形態観察 検出する,0.518946100386
  全酸価 ．粘度  良好,  全酸価    良好,0.518686944766
    濃度  増加する,      濃度なる,0.518270779647
  濃度    増加する,      濃度なる,0.518270779647
      異常摩耗の早期発見パラメータであるIs値がの乗高い,      フェログラフィー異常摩耗の早期発見パラメータであるフェログラフィーのIs値がの乗高い,0.517832269459
  フェログラフィー異常摩耗の早期発見パラメータであるフェログラフィーのIs値 良好の範囲  ある,  フェログラフィーのIs値 良好の範囲  ある,0.515036546658
  黒錆  摩耗粒子の形態観察 検出する,   摩耗粒子の形態観察   発生する,0.511829613965
      フェログラフィー異常摩耗の早期発見パラメータであるフェログラフィーのIs値がの乗高い,    異常摩耗の早期発見パラメータであるフェログラフィーのIs値  ある,0.510213045066
ppm 錫  錫・エンジン部品リン 検出する,ppm 錫    検出する,0.508716842605
  摩耗粒子    検出する,  摩耗粒子    含む,0.505315114879
  濃度    上昇する,  濃度    増加する,0.504714983985
  濃度    上昇する,    濃度  増加する,0.504714983985
    厳しい状態  ある,  摩耗   厳しい状態なる,0.504440772528
    摩耗  厳しい,  摩耗   厳しい状態なる,0.504432151103
     摩擦面 発生する,  摩擦面 異常摩耗  進行する,0.498038217811
  潤滑状態    厳しい,  潤滑状態    なる,0.496768935095
  汚染度    高い,  汚染度    汚染する,0.495274667287
  フェログラフィー異常摩耗の早期発見パラメータであるフェログラフィーのIs値 良好の範囲  ある,      異常摩耗の早期発見パラメータであるフェログラフィーのIs値がの乗良好,0.494820546094
      これある,  これ    伴う,0.494485458448
  当社推奨の管理限界値 計数汚染度  上昇する,  当社推奨の管理限界値である±％    上昇する,0.493356022834
   濃度   出る,      濃度なる,0.492546074707
  汚染度    上昇する,  汚染度    汚染する,0.488429442208
  粘度    良好,  粘度 良好の範囲  ある,0.488040476972
    粘度  良好,  粘度 良好の範囲  ある,0.488040476972
銅がppmアンチモン    混入する,ppm アンチモン  鉄 検出する,0.486370049347
  摩耗粒子    検出する,    摩耗粒子  凝着する,0.483590877474
    良好の範囲  ある,    良好の範囲 Is値がの乗ある,0.482606409764
  濃度    上昇する,   濃度   出る,0.480286667107
  油    劣化する,   油   する,0.475640093242
    良好の範囲 フェログラフィー異常摩耗の早期発見パラメータであるフェログラフィーのIs値がの乗ある,  フェログラフィーのIs値 良好の範囲  ある,0.474266596803
  発生した摩耗粒子    検出する,  発生したμmサイズの摩耗粒子    検出する,0.471727656526
  酸価のデータ 粘度  良好,  全酸価 ．粘度  良好,0.469355998034
  当社推奨の管理限界値    上昇する,   当社推奨の管理限界値である±％以内   ある,0.468630676717
  汚染度    高い,  汚染度    上昇する,0.468386522182
銅がppmアンチモン    混入する,ppm 錫  アンチモン 検出する,0.467798991578
  酸価のデータ 粘度  良好,  全酸価のデータ 良好の範囲  ある,0.467245038312
      摩耗粒子なる,  摩耗粒子    含む,0.467187785236
  疲労摩耗粒子    検出する,  μmサイズの疲労摩耗粒子    検出する,0.466856206719
  酸価のデータ 水分  良好,  全酸価のデータ 良好の範囲  ある,0.461884762226
      グリース異なる,   グリース   含む,0.461290868666
  全酸価    良好,  全酸価のデータ 良好の範囲  ある,0.460919516386
 ギヤ歯面粒子    発生する,      ギヤ歯面噛む,0.46048703847
  異物    噛む,  異物    混入する,0.460207648059
    潤滑状態  ある,  厳しい潤滑状態    発生する,0.45624959783
  これら    検出する,      これらの摩耗粒子なる,0.452901741928
   摩耗粒子の形態観察   発生する,  微小な疲労摩耗粒子  摩耗粒子の形態観察 検出する,0.452183304216
    良好の範囲 Is値がの乗ある,    良好の範囲 摩耗粒子診断異常摩耗の早期発見パラメータであるIs値がの乗ある,0.451182810434
    濃度  増加する,   濃度   出る,0.450264466816
  濃度    増加する,   濃度   出る,0.450264466816
  フェログラフィーのIs値    厳しい,      フェログラフィーのIs値がのマイナス乗低下する,0.449561120069
  摩耗粒子異物    噛む,     摩耗粒子異物の込み 発生する,0.448898089128
  摩耗粒子    検出する,  この摩耗粒子    発生する,0.448723969726
      摩耗粒子なる,    摩耗粒子  凝着する,0.448557736846
銅がppm錫    混入する,ppm 錫  鉄 検出する,0.44745513988
ppm アンチモン  錫・エンジン部品リン 検出する,ppm アンチモン  アンチモン 検出する,0.446869972701
銅がppm鉄    混入する,ppm 錫  銅 検出する,0.446169963033
銅がppm錫    混入する,ppm 銅  鉄 検出する,0.446169963033
 外部亜鉛    混入する,  亜鉛    検出する,0.443664592982
    潤滑状態  ある,     正常な潤滑状態 発生する,0.442028350764
      NAS級非常,      NAS級なる,0.440316393
  グリース    交換する,   グリース   含む,0.435791027105
      NAS級非常,      NAS級高い,0.435085472492
      軸受の潤滑状態異常摩耗の早期発見パラメータであるフェログラフィーのIs値がの乗高い,    異常摩耗の早期発見パラメータであるフェログラフィーのIs値  ある,0.434333106714
  油中のスラッジ    なる,  スラッジ    増加する,0.432923129888
      この摩耗粒子なる,  摩耗粒子    検出する,0.431974714788
    軸受メタル  深い,  軸受メタルの摩耗    進行する,0.431558454922
     ギヤ歯面の疲労摩耗 発生する,     ギヤ歯面 ある,0.428849557201
  グリース    交換する,      グリース異なる,0.426996742859
    消泡性能の改善  ある,  消泡性能    ある,0.426563477078
    正常な潤滑状態  ある,  潤滑状態    なる,0.425608511902
  潤滑状態    なる,  厳しい潤滑状態    発生する,0.424644226121
      油異なる,   油   する,0.424410894539
      摩耗粒子なる,  発生した摩耗粒子    検出する,0.4227795658
    潤滑状態  与える,    潤滑状態  ある,0.422281042316
  異常摩耗の早期発見パラメータであるフェログラフィーのIs値 良好の範囲  ある,  錫濃度、フェログラフィーのIs値 良好の範囲  ある,0.421017218164
  グリース    硬化する,   グリース   含む,0.41990963695
   油   する,   更油   する,0.419543767832
 ppm錫    混入する,ppm 錫  錫・エンジン部品リン 検出する,0.419100157052
      油一致する,   油   する,0.418520659981
      摩耗粒子なる,  この摩耗粒子    発生する,0.418402115101
  摩耗  異物の影響 進行する,    摩耗の進行  進行する,0.415657531739
  摩耗  異物の影響 進行する,  摩耗の進行    進行する,0.415657531739
     摩耗 発生する,  摩耗    進行する,0.415240035316
  フェログラフィーのIs値    厳しい,    異常摩耗の早期発見パラメータであるフェログラフィーのIs値  ある,0.413047899019
ppm 錫  錫・エンジン部品リン 検出する,ppm 錫  銅 検出する,0.412811760683
ppm 銅  錫・エンジン部品リン 検出する,ppm 錫    検出する,0.412811760683
     正常な潤滑状態 発生する,  潤滑状態    なる,0.412298350908
ppm 銅  錫・エンジン部品リン 検出する,ppm 銅  銅 検出する,0.411752788386
  グリース    硬化する,      グリース異なる,0.411738638679
    潤滑状態指数  ある,    推定した潤滑状態指数  ある,0.411587088548
  当社推奨の管理限界値    上昇する,   当社推奨の管理限界値の.mgKOH/g以内   ある,0.408244568395
  摩耗  水分の影響 進行する,  摩耗の進行    進行する,0.407352947925
  摩耗  水分の影響 進行する,    摩耗の進行  進行する,0.407352947925
  錫    検出する, 外部錫    混入する,0.406797711502
  発生した油中粒子    除去する,  油中粒子    沈降する,0.406055174298
    良好の範囲 Is値がの乗ある,    良好の範囲 フェログラフィー異常摩耗の早期発見パラメータであるフェログラフィーのIs値がの乗ある,0.405683865122
銅がppm鉄    混入する,ppm 錫  鉄 検出する,0.40474858261
    将来的な摩耗の進行  進行する,  摩耗の進行    ある,0.404495835809
    潤滑油  ある,  潤滑油    取り替える,0.404095280769
  軸受メタルの摩耗    進行する,摩耗の進行      懸念する,0.403357851537
軸受メタルの摩耗の進行      懸念する,  摩耗の進行    進行する,0.403357851537
  摩耗    進行する,軸受メタルの摩耗の進行      懸念する,0.403357851537
軸受メタルの摩耗の進行      懸念する,    摩耗の進行  進行する,0.403357851537
ppm 銅  カルシウム・添加剤アルミニウム 検出する,ppm 銅  銅 検出する,0.403014982973
    mサイズ  厳しい,  μmサイズの粒子    検出する,0.402385095178
    厳しい状態  ある,    安定した状態  ある,0.400810371926
  潤滑状態    厳しい,    正常な潤滑状態  ある,0.399326011634
  このような摩耗粒子    検出する,  この摩耗粒子    発生する,0.397959138585
  摩耗粒子    含む,    摩耗粒子  凝着する,0.396821575293
    潤滑状態  与える,  潤滑状態    なる,0.395066269062
  亜鉛    劣化する, 外部亜鉛    混入する,0.394789788618
  グリース    軟化する,   グリース   含む,0.393536692731
    良好の範囲 異常摩耗の早期発見パラメータであるフェログラフィーのIs値がの乗ある,  錫濃度、フェログラフィーのIs値 良好の範囲  ある,0.393374208146
  グリース    硬化する,  グリース    交換する,0.391301616929
ppm アンチモン  錫・エンジン部品リン 検出する,ppm アンチモン  鉄 検出する,0.390219544938
      この摩耗粒子なる,  このような摩耗粒子    検出する,0.389720469108
     摩耗 発生する,摩耗      考える,0.388287152658
  精密なフィルタ 設備  常設する,  精密フィルタ    設置する,0.387776196613
  異常摩耗の早期発見パラメータであるフェログラフィーのIs値 良好の範囲  ある,    良好の範囲 Is値がの乗ある,0.387727867905
  潤滑状態    厳しい,     正常な潤滑状態 発生する,0.38758630014
  摩耗  異物の影響 進行する,  摩耗の進行    ある,0.387496589401
  精密なフィルタ 設備  常設する,    精密フィルタ  捕捉する,0.386445037519
      グリース異なる,  グリース    軟化する,0.386351060387
ppm 銅  クランクメタルの摩耗SOAP-T 検出する,ppm 錫  マグネシウム・外部混入異物コンロッドメタル或いはクランクメタルの摩耗SOAP-T 検出する,0.38582296483
ppm 銅  マグネシウム・外部混入異物コンロッドメタル或いはクランクメタルの摩耗SOAP-T 検出する,ppm 錫  クランクメタルの摩耗SOAP-T 検出する,0.38582296483
  厳しい金属接触  ポンプ摺動部 発生する,  金属接触    厳しい,0.384962174656
     摩耗 発生する,    摩耗  厳しい,0.384330585482
      フェログラフィーのIs値がのマイナス乗低下する,  潤滑状態   フェログラフィーのIs値なる,0.383641996928
ppm アンチモン  カルシウム・添加剤アルミニウム 検出する,ppm アンチモン  鉄 検出する,0.383394241483
      振動の原因なる,      切削摩耗の原因なる,0.382528120981
   当社推奨の管理限界値である±％以内   ある,  当社推奨の管理限界値 粘度  上昇する,0.382104703503
  シビア粒子    検出する,    粒子  ある,0.381794854909
   シビア粒子   検出する,    粒子  ある,0.381794854909
必要な油量      確保する,   油量   循環する,0.381238632101
      振動の原因なる,  振動    増大する,0.380426593073
  摩耗  水分の影響 進行する,  摩耗の進行    ある,0.380269380695
  全酸価 粘度  良好,  全酸価のデータ 良好の範囲  ある,0.38018384007
    mサイズ  厳しい,  μmサイズの摩耗粒子    検出する,0.379924296778
  μmサイズの粒子    検出する,  ~μmサイズの金属片    検出する,0.379776329242
ppm 銅  アンチモン 検出する,ppm アンチモン  錫・エンジン部品リン 検出する,0.379581864685
ppm アンチモン  錫・エンジン部品リン 検出する,ppm アンチモン  銅 検出する,0.379581864685
    疲労摩耗  進行する,     ギヤ歯面の疲労摩耗 発生する,0.37702722546
     ギヤ歯面の疲労摩耗 発生する,  疲労摩耗    進行する,0.37702722546
  摩耗の進行    ある,軸受メタルの摩耗の進行      懸念する,0.376785594205
  発生した摩耗粒子    検出する,  摩耗粒子    含む,0.376512309785
  全酸価 水分  良好,  全酸価のデータ 良好の範囲  ある,0.375822337692
    軸受  ある,    軸受  補給する,0.37479829445
  ~μmサイズのシビア粒子    検出する,  μmサイズの摩耗粒子    検出する,0.374512657087
ppm アンチモン  クランクメタルの摩耗SOAP-T 検出する,ppm 錫  マグネシウム・外部混入異物コンロッドメタル或いはクランクメタルの摩耗SOAP-T 検出する,0.373990073278
  フェログラフィーのIs値 良好の範囲  ある,      異常摩耗の早期発見パラメータであるフェログラフィーのIs値がの乗良好,0.373878139242
ppm 銅  アンチモン 検出する,ppm アンチモン  カルシウム・添加剤アルミニウム 検出する,0.373120534027
ppm アンチモン  カルシウム・添加剤アルミニウム 検出する,ppm アンチモン  銅 検出する,0.373120534027
  摩耗粒子    含む,  この摩耗粒子    発生する,0.373036595868
ppm アンチモン  カルシウム・添加剤アルミニウム 検出する,ppm 錫  アンチモン 検出する,0.372810572241
   当社推奨の管理限界値のNAS級以内計数汚染度  ある,  管理限界値 計数汚染度  上昇する,0.372747806497
  潤滑状態    厳しい,    潤滑状態  与える,0.372319757304
  油    循環する,   油   する,0.371871398898
  目詰まり    引き起こす,  目詰まりオフラインフィルタ   発生する,0.371339572279
  μmサイズの疲労摩耗粒子    検出する,  約μmサイズのシビア粒子    検出する,0.37080989059
      新油値の-ある,      油値高い,0.370555855449
ppm アンチモン  錫・エンジン部品リン 検出する,ppm アンチモン  亜鉛 検出する,0.370138695442
  ％のスラッジ    除去する,  スラッジ    増加する,0.368897199274
  発生したμmサイズの摩耗粒子    検出する,  約μmサイズのシビア粒子    検出する,0.368700815914
  グリース    交換する,  グリース    軟化する,0.368301368948
  摩耗粒子    検出する,  μmサイズの摩耗粒子    検出する,0.367654205859
  μmサイズの摩耗粒子    検出する,  ~μmサイズの金属片    検出する,0.366958857796
    良好の範囲 Is値がの乗ある,    良好の範囲 異常摩耗の早期発見パラメータであるIs値がのマイナス乗ある,0.364883962172
  発生した摩耗粒子    検出する,    摩耗粒子  凝着する,0.364317816969
ppm アンチモン  カルシウム・添加剤アルミニウム 検出する,ppm アンチモン  亜鉛 検出する,0.363992250596
  潤滑油中の水分    上昇する, 潤滑油中錫    検出する,0.362985504673
  シビア粒子    検出する,  観察された粒子    検出する,0.36240788961
   シビア粒子   検出する,  観察された粒子    検出する,0.36240788961
      この摩耗粒子なる,  摩耗粒子    含む,0.361387753512
  この摩耗粒子    発生する,    摩耗粒子  凝着する,0.361062626897
    将来的な摩耗の進行  進行する,摩耗の進行      懸念する,0.36090181608
  大型の摩耗粒子    発生する,  この摩耗粒子    発生する,0.360248758218
    潤滑状態  ある,  異常の兆候 潤滑状態  ある,0.35885994307
  シビア粒子    検出する,  約μmサイズのシビア粒子    検出する,0.358726911418
   シビア粒子   検出する,  約μmサイズのシビア粒子    検出する,0.358726911418
      異常摩耗の早期発見パラメータであるフェログラフィーのIs値がの乗高い,  フェログラフィーのIs値    厳しい,0.357718847025
ppm 銅  錫・エンジン部品リン 検出する,ppm 錫  鉄 検出する,0.357600800549
    良好の範囲 異常摩耗の早期発見パラメータであるフェログラフィーのIs値がのマイナス乗ある,  錫濃度、フェログラフィーのIs値 良好の範囲  ある,0.357412805021
  摩耗    進行する,摩耗      考える,0.357096366859
  グリース    硬化する,  グリース    軟化する,0.35689370777
  潤滑状態   フェログラフィーのIs値なる,    異常摩耗の早期発見パラメータであるフェログラフィーのIs値  ある,0.356731104183
ppm 銅  錫・エンジン部品リン 検出する,ppm 銅  鉄 検出する,0.356683459094
      異常摩耗の早期発見パラメータであるIs値がの乗高い,     これ異常摩耗の早期発見パラメータである摩耗過酷度がの乗高い,0.355179190342
  摩耗    進行する,    摩耗  厳しい,0.353747182944
   当社推奨の管理限界値である±％以内   ある,  当社推奨の管理限界値である±％    上昇する,0.352883529898
  フレーキング  ベアリング軌道面 発生する,フレーキング      懸念する,0.352597258843
  スラッジの増加    ある,  油中のスラッジ    なる,0.351597604722
    正常な潤滑状態  ある,  厳しい潤滑状態    発生する,0.35135506977
  油名    異なる,   油名の誤り   考える,0.351057870886
      この摩耗粒子なる,    摩耗粒子  凝着する,0.350138656958
ppm 銅  カルシウム・添加剤アルミニウム 検出する,ppm 銅  鉄 検出する,0.350107947216
    良好の範囲 フェログラフィー異常摩耗の早期発見パラメータであるフェログラフィーのIs値がの乗ある,  錫濃度、フェログラフィーのIs値 良好の範囲  ある,0.347833216989
  摩耗  異物の影響 進行する,摩耗の進行      懸念する,0.347307692916
  摩擦力   垂直荷重繰り返す,  摩擦力    加わる,0.346686666588
    厳しい状態  ある,    軽微な状態  ある,0.345985440723
銅がppm錫    混入する,ppm 錫  錫・エンジン部品リン 検出する,0.345138654966
 ppm錫    混入する,ppm 銅  錫・エンジン部品リン 検出する,0.345138654966
精密なフィルタの設置    設備 ある,    精密フィルタ  捕捉する,0.34450702337
  摩耗  水分の影響 進行する,摩耗の進行      懸念する,0.341490619616
 外部     混入する,上昇した要因外部     混入する,0.341290138731
  ~μmサイズのシビア粒子    検出する,  μmサイズの疲労摩耗粒子    検出する,0.340996908059
   ギヤ歯面での油膜形成   出る,     ギヤ歯面 ある,0.340874854224
ppm 錫  カルシウム・添加剤アルミニウム 検出する,ppm 錫  銅 検出する,0.340810844917
  全酸価 ．粘度  良好,  全酸価 水分 IR良好,0.340624941324
    潤滑油  ある,  潤滑油の劣化    進行する,0.340396278205
   劣化した場合   発生する,    継続使用した場合  到達する,0.340049403484
ppm 銅  カルシウム・添加剤アルミニウム 検出する,ppm 錫  銅 検出する,0.339936574178
      異常摩耗の早期発見パラメータであるIs値がの乗高い,    Is値  高い,0.339815152913
  ~μmサイズのシビア粒子    検出する,  発生したμmサイズの摩耗粒子    検出する,0.339212521819
  全酸価 ．粘度  良好,  全酸価のデータ 水分  良好,0.33860011371
  球状粒子  摩耗粒子の形態観察 検出する,    球状粒子  増加する,0.338279658672
ppm 銅  錫・エンジン部品リン 検出する,ppm 錫  亜鉛 検出する,0.33824124539
 ppm錫    混入する,ppm 錫  カルシウム・添加剤アルミニウム 検出する,0.337944829244
  油の添加剤成分の亜鉛    検出する,   油の添加剤成分の析出   発生する,0.337566302575
  油の添加剤成分である亜鉛    検出する,   油の添加剤成分の析出   発生する,0.337566302575
  金属片    検出する,  ~μmサイズの金属片    検出する,0.337413690541
ppm 銅  錫・エンジン部品リン 検出する,ppm 銅  亜鉛 検出する,0.337373566358
  摩耗粒子    検出する,  このような摩耗粒子    検出する,0.336999692804
  フレーキング  転動面 発生する,    フレーキング  進行する,0.336702171879
  厳しい金属接触  ポンプ摺動部 発生する,  金属接触    発生する,0.336624871258
