報告書_id,文_id,動詞_id,動詞,主体,起点,対象,状況,着点,手段,関係,事象,レコード_id
109001058,1,13,含む, , ,鉄,粒子, , , ,鉄 潤滑状態 含む,443
109001058,1,13,含む, , ,クロム,粒子, , , ,クロム フリクションポリマ 含む,443
109001058,1,13,含む, , ,マンガン,粒子, , , ,マンガン クロム 含む,443
109001058,1,21,接触する,金属同士,特徴的な形状, , , , , ,特徴的な形状 なる,443
109001058,1,24,呼ぶ, , , , , , ,凝着摩耗,クロム クロム 凝着摩耗 呼ぶ,443
109001058,1,26,発生する, , , , , ,摩耗形態, ,摩耗形態 剥離する,443
109001058,2,7,ある, , , , ,潤滑状態, , ,潤滑状態 なる,444
109001058,2,7,ある, , , , ,厳しい状態, , ,摩耗 厳しい,444
109001058,3,4,噛む, , , , ,弁類のスプール摺動部, , ,弁類のスプール摺動部 噛む,444
109001058,3,10,噛む, , ,さび, ,狭小な摺動部, , ,さび 狭小な摺動部 噛む,444
109001058,3,17,ある, , , , ,これらの粒子, , ,摩耗 厳しい,444
109001058,3,20,開閉する, , ,弁体, , , , ,弁体 さび 開閉する,444
109001058,3,23,発生する, , ,油圧の低下, , , , ,油圧の低下 発生する,444
109001058,4,5,発生する, , ,油中の汚染度, , , , ,油中 混入する,444
109001058,4,5,発生する, , ,弁類の動作現象, , , , ,弁類の動作障害 発生する,444
109001058,4,9,進行する, , ,摩耗, , , , ,摩耗 さび 進行する,444
109001058,4,12,多発する, , ,進行した場合弁類の動作現象, , , , ,進行した場合弁類の動作現象 多発する,444
109001058,4,18,有効, , ,濾過等の対策, , , , ,濾過等の対策 油中の汚染度 有効,444
109001058,5,3,粗い, , ,常設フィルタ, , , , ,常設フィルタ さび 粗い,444
109001058,5,3,粗い, , ,メッシュ, , , , ,メッシュ さび 粗い,444
109001058,5,3,粗い, , ,フィルタメッシュ, , , , ,フィルタメッシュ さび 粗い,444
109001058,5,5,出る, , ,濾過精度, , , , ,濾過精度 油中の汚染度 さび 出る,444
109001058,6,3,発生する,汚染の原因, , , , ,摩耗, ,摩耗の原因 なる,444
109001058,6,10,上昇する, , ,汚染度, ,濾過後,摩耗の発生, ,汚染度 濾過後 摩耗の発生 上昇する,444
109001058,9,1,良好, , , , ,粘度, , ,粘度 良好,445
109001058,10,9,ある, , , ,当社推奨の管理限界値である±％以内, , , ,当社推奨の管理限界値である±％以内 ある,446
109001058,11,1,良好, , , , ,水分, , ,水分 良好,447
109001058,17,3,上昇する, , ,当社推奨の管理限界値, ,計数汚染度, , ,当社推奨の管理限界値 上昇する,448
109001058,18,3,上昇する, , ,当社推奨の管理限界値, ,計数汚染度, , ,当社推奨の管理限界値 上昇する,448
109001058,19,5,上昇する, , ,NAS級, ,計数汚染度, , ,NAS級 計数汚染度 ある,448
109001058,19,5,上昇する, , ,当社推奨の管理限界値のNAS級, ,計数汚染度, , ,当社推奨の管理限界値 上昇する,448
109001058,20,1,良好, , , , ,重量汚染度, , ,重量汚染度 良好,449
109001058,21,5,ある, , , ,当社推奨の管理限界値のmg/ml以内,重量汚染度, , ,当社推奨の管理限界値 重量汚染度 上昇する,449
109001058,21,5,ある, , , ,当社推奨の管理限界値のmg/ml以内,.mg/ml, , ,当社推奨の管理限界値のmg/ml以内 重量汚染度 ある,449
109001058,23,2,低下する, , ,濃度, ,粒度分布, , ,濃度 粒度分布 低下する,450
109001058,23,5,える,適正な散乱強度, , , , , , ,適正な散乱強度 える,450
109001058,24,4,厳しい, , ,金属接触, , , , ,金属接触 なる,451
109001058,24,10,検出する, , ,シビア粒子, , , , ,シビア粒子 発生する,451
109001058,26,8,混入する, ,外部, , , , , ,外部 混入する,452
109001058,26,11,検出する, , ,ケイ素, , , , ,ケイ素 増加する,452
109001058,28,4,混入する, ,外部, , , , , ,外部 混入する,452
109001058,28,8,検出する, , ,カルシウム, , , , ,カルシウム 発生する,452
109001058,28,8,検出する, , ,ナトリウム, , , , ,ナトリウム 発生する,452
109001058,29,3,厳しい, , ,金属接触, , , , ,金属接触 砂 厳しい,452
109001058,29,9,検出する, , ,シビア粒子, , , , ,シビア粒子 発生する,452
109001058,30,6,ある, , , , ,良好の範囲, ,異常摩耗の早期発見パラメータであるIs値がの乗,異常摩耗の早期発見パラメータであるフェログラフィーのIs値がの乗 良好,452
109001058,30,12,厳しい, , ,金属接触, , , , ,金属接触 砂 厳しい,452
109001058,30,18,検出する, , ,シビア粒子, , , , ,シビア粒子 発生する,452
109001058,31,5,含む, , ,鉄, , , , ,カルシウム 検出する,452
109001058,31,5,含む, , ,クロム, , , , ,マンガン クロム 含む,452
109001058,31,5,含む, , ,マンガン, , , , ,マンガン クロム 含む,452
109001058,31,7,検出する, , ,粒子, , , , ,粒子 発生する,452
109001058,32,5,検出する, , ,観察された粒子, , ,XMA, ,摩耗粒子 XMA 検出する,452
109001058,32,10,含む, , ,鉄, , , , ,鉄 XMA 含む,452
109001058,32,10,含む, , ,クロム, , , , ,鉄 クロム 含む,452
109001058,32,10,含む, , ,マンガン, , , , ,クロム 鉄 含む,452
109001058,32,12,検出する, , ,粒子, , , , ,粒子 発生する,452
109001458,0,12,受ける, , ,沈降の影響, , , , ,沈降の影響 よる,549
109001458,0,15,出る, , , ,濃度, , , ,濃度 なる,549
109001458,3,6,均衡する, , ,油槽内などでの沈降, , , , ,油槽内などでの沈降 均衡する,550
109001458,3,11,なる, , , , , , ,油中の濃度,濃度 なる,550
109001458,3,11,なる, , , , , , ,平衡状態,平衡状態 なる,550
109001458,4,2,崩れる, , ,バランス, , , , ,発生 油中の濃度 崩れる,550
109001458,5,3,低下する, , ,油中の粒子, , , , ,油中の粒子 低下する,550
109001458,5,7,設置する, , , , ,フィルタ類,設備, ,フィルタ類 設置する,550
109001458,5,16,ある, , ,粒子の沈降,油槽内部, , , ,油槽内部での沈降 減少 ある,550
109001458,5,20,なる, , , , , , ,濃度,濃度 高い,550
109001458,6,5,発生する, , ,大型摩耗粒子, , ,異常な摩耗, ,大型摩耗粒子 異常な摩耗 発生する,551
109001458,8,5,ある, , , , ,良好の範囲, , ,良好な範囲 ある,552
109001765,0,7,満たす, , ,全ての分析項目の値, , , , ,全ての分析項目の値 満たす,635
109001765,0,20,良好, , , , ,潤滑状態, , ,潤滑状態 良好,635
109001765,1,1,係る, , , , , , ,特性低下特性低下,特性低下特性低下 係る,636
109001765,2,8,ある, , , ,当社推奨の管理限界値である±％以内, , , ,当社推奨の管理限界値である±％以内 ある,636
109001765,3,3,設定する, , ,管理限界値, , , , ,管理限界値 設定する,637
109001765,4,12,現れる, , , , ,劣化の兆候, , ,劣化の兆候 現れる,638
109001765,8,1,係る, , , , ,汚染, , ,摩耗 係る,639
109001765,13,9,ある, , , , ,良好の範囲, , ,良好な範囲 ある,640
109001765,13,13,良好, , , , ,潤滑箇所の潤滑状態, , ,潤滑箇所の潤滑状態 良好,640
109001765,14,5,検出する, , ,金属元素, , , , ,金属元素 検出する,641
109001765,14,8,発生する, , , ,潤滑箇所, , , ,潤滑箇所 適正,641
109001765,14,15,良好, , , , ,外部からの異物などの混入, , ,混入した異物 潤滑状態 良好,641
109001765,15,5,発生する, , , ,潤滑箇所, , , ,潤滑箇所 適正,641
109001765,15,7,検出する, , , , , ,金属接触, ,金属接触 厳しい,641
109001765,15,10,混入する, ,外部,銅, , , , ,外部 銅 混入する,641
109001765,15,16,検出する, , ,亜鉛, , , , ,亜鉛 析出する,641
109001765,15,16,検出する, , ,カルシウム, , , , ,カルシウム 発生する,641
109001765,15,16,検出する, , ,ナトリウム, , , , ,ナトリウム 発生する,641
109001770,0,4,ある, , , , ,潤滑油, , ,潤滑油 高い,642
109001770,0,4,ある, , , , ,軸受, , ,乗と軸受 ある,642
109001770,0,4,ある, , , , ,継続使用可能な状態, , ,潤滑油 ある,642
109001770,1,4,計算する, , ,バックラッシの増加量, , , , ,バックラッシ 計算する,643
109001770,3,1,係る, , , , , , ,特性低下特性低下,特性低下特性低下 係る,644
109001770,4,8,ある, , , ,当社推奨の管理限界値である±％以内, , , ,当社推奨の管理限界値である±％以内 ある,644
109001770,5,3,設定する, , ,管理限界値, , , , ,管理限界値 設定する,645
109001770,10,1,係る, , , , ,汚染, , ,摩耗 係る,646
109001770,14,5,噛む, , ,異物, , , , ,異物 なる,647
109001770,14,6,発生する, , ,異物の込み, , , , ,異物の込み 発生する,647
109001770,14,9,厳しい, , ,切削粒子, , , , ,切削粒子 有用,647
109001770,14,9,厳しい, , ,金属接触, , , , ,金属接触 なる,647
109001770,14,13,検出する, , ,シビア粒子, , , , ,シビア粒子 発生する,647
109001770,15,6,高い, , , , , , ,異常摩耗の早期発見パラメータであるフェログラフィーのIs値がの乗,異常摩耗の早期発見パラメータであるフェログラフィーのIs値がの乗 高い,647
109001770,15,11,噛む, , ,異物, , , , ,異物 なる,647
109001770,15,12,発生する, , ,異物の込み, , , , ,異物の込み 発生する,647
109001770,15,15,厳しい, , ,金属接触, , , , ,金属接触 なる,647
109001770,15,19,検出する, , ,シビア粒子, , , , ,シビア粒子 発生する,647
109001770,16,5,混入する, ,外部, , , , , ,外部 混入する,647
109001770,16,10,検出する, , ,ケイ素, , , , ,ケイ素 増加する,647
109001770,17,6,混入する, ,外部,鉄, , , , ,外部 鉄 混入する,647
109001770,17,12,検出する, , ,カルシウム, , , , ,カルシウム 発生する,647
109001770,17,12,検出する, , ,ナトリウム, , , , ,ナトリウム 発生する,647
109001771,0,7,満たす, , ,全ての分析項目の値, , , , ,全ての分析項目の値 満たす,648
109001771,0,20,良好, , , , ,潤滑状態, , ,潤滑状態 良好,648
109001771,1,1,係る, , , , , , ,特性低下特性低下,特性低下特性低下 係る,649
109001771,2,8,ある, , , ,当社推奨の管理限界値である±％以内, , , ,当社推奨の管理限界値である±％以内 ある,649
109001771,3,3,設定する, , ,管理限界値, , , , ,管理限界値 設定する,650
109001771,8,1,係る, , , , ,汚染, , ,摩耗 係る,651
109001771,13,9,ある, , , , ,良好の範囲, , ,良好な範囲 ある,652
109001771,13,13,良好, , , , ,潤滑箇所の潤滑状態, , ,潤滑箇所の潤滑状態 良好,652
109001771,14,5,混入する, ,外部, , , , , ,外部 潤滑箇所の潤滑状態 混入する,652
109001771,14,10,検出する, , ,ケイ素, , , , ,ケイ素 増加する,652
109001771,15,5,混入する, ,外部, , , , , ,ケイ素 検出する,652
109001771,15,11,検出する, , ,カルシウム, , , , ,カルシウム 発生する,652
109001771,15,11,検出する, , ,ナトリウム, , , , ,ナトリウム 発生する,652
109001774,0,4,ある, , , , ,潤滑油, , ,潤滑油 高い,659
109001774,0,4,ある, , , , ,軸受, , ,乗と軸受 ある,659
109001774,0,4,ある, , , , ,継続使用可能な状態, , ,潤滑油 ある,659
109001774,1,1,係る, , , , , , ,特性低下特性低下,特性低下特性低下 係る,660
109001774,2,8,ある, , , ,当社推奨の管理限界値である±％以内, , , ,当社推奨の管理限界値である±％以内 ある,660
109001774,3,3,設定する, , ,管理限界値, , , , ,管理限界値 設定する,661
109001774,8,1,係る, , , , ,汚染, , ,摩耗 係る,662
109001774,8,7,上昇する, , ,汚染粒子数, , , , ,汚染粒子数 汚染 高い,662
109001774,8,7,上昇する, , ,当社推奨の管理限界値, , , , ,当社推奨の管理限界値 到達する,662
109001774,10,5,上昇する, , ,当社推奨の管理限界値のNAS級, , , , ,当社推奨の管理限界値 上昇する,663
109001774,12,5,噛む, , ,異物, , , , ,異物 なる,664
109001774,12,6,発生する, , ,異物の込み, , , , ,異物の込み 発生する,664
109001774,12,10,なる, , , , , , ,高温,高温 なる,664
109001774,12,15,混入する, ,外部, , , , , ,外部 混入する,664
109001774,12,18,検出する,樹脂等, , , , , , ,樹脂等 検出する,664
109001774,13,6,高い, , , , , , ,異常摩耗の早期発見パラメータであるフェログラフィーのIs値がの乗,異常摩耗の早期発見パラメータであるフェログラフィーのIs値がの乗 高い,664
109001774,13,11,噛む, , ,異物, , , , ,異物 なる,664
109001774,13,12,発生する, , ,異物の込み, , , , ,異物の込み 発生する,664
109001774,13,16,なる, , , , , , ,高温,高温 なる,664
109001774,13,21,混入する, ,外部, , , , , ,外部 混入する,664
109001774,13,24,検出する,樹脂等, , , , , , ,樹脂等 検出する,664
109001774,14,11,混入する,ppm,ppm,油の添加剤成分であるリン, , , , ,亜鉛 油の添加剤成分であるリン 混入する,664
109001774,14,11,混入する,ppm,外部,油の添加剤成分であるリン, , , , ,外部 油の添加剤成分であるリン 混入する,664
109001774,15,5,発生する, , , ,潤滑箇所, , , ,潤滑箇所 適正,664
109001774,15,7,検出する, , , , , ,金属接触, ,金属接触 厳しい,664
109001774,15,14,混入する,.pm,外部,油の添加剤成分であるリン, , , , ,.pm 外部 油の添加剤成分であるリン 異物 混入する,664
109001774,15,23,検出する,ppm, ,ナトリウム, , , , ,ナトリウム 検出する,664
109001774,15,23,検出する,ppm, ,アルミニウム, , , , ,アルミニウム 検出する,664
109001774,15,23,検出する,ppm, ,亜鉛, , , , ,亜鉛 検出する,664
109001774,15,23,検出する,ppm, ,マグネシウム, , , , ,マグネシウム 検出する,664
109001784,0,4,ある, , , , ,潤滑油, , ,潤滑油 高い,677
109001784,0,4,ある, , , , ,軸受, , ,乗と軸受 ある,677
109001784,0,4,ある, , , , ,継続使用可能な状態, , ,潤滑油 ある,677
109001784,2,1,係る, , , , , , ,特性低下特性低下,特性低下特性低下 係る,678
109001784,2,16,ある, , ,異種油の混入, , , , ,異種油の混入 考える,678
109001784,3,8,ある, , , ,当社推奨の管理限界値である±％以内, , , ,当社推奨の管理限界値である±％以内 ある,678
109001784,4,3,設定する, , ,管理限界値, , , , ,管理限界値 設定する,679
109001784,9,5,異なる, , , , , , ,油,油 異なる,680
109001784,10,9,ある,異種油混入の影響, , , , , , ,異種油混入の影響 油 ある,680
109001784,11,1,係る, , , , ,汚染, , ,汚染 異種油混入の影響 係る,680
109001784,15,5,厳しい, , ,金属接触, , , , ,金属接触 なる,681
109001784,15,9,検出する, , ,シビア粒子, , , , ,シビア粒子 発生する,681
109001784,16,7,ある, , , , ,良好の範囲, ,異常摩耗の早期発見パラメータであるフェログラフィーのIs値がのマイナス乗,良好の範囲 異常摩耗の早期発見パラメータであるIs値がのマイナス乗 ある,681
109001784,16,13,厳しい, , ,金属接触, , , , ,金属接触 なる,681
109001784,16,17,検出する, , ,シビア粒子, , , , ,シビア粒子 発生する,681
109001784,17,6,混入する, ,銅ppm, , , , , ,銅ppm 金属接触 混入する,681
109001784,17,6,混入する, ,外部, , , , , ,外部 混入する,681
109001784,18,5,発生する, , , ,潤滑箇所, , , ,潤滑箇所 適正,681
109001784,18,7,検出する, , , , , ,金属接触, ,金属接触 厳しい,681
109001784,18,13,混入する, ,ppm,銅, , , , ,金属接触 銅 厳しい,681
109001784,18,13,混入する, ,外部,銅, , , , ,外部 銅 混入する,681
109001784,18,18,検出する, , ,亜鉛, , , , ,亜鉛 析出する,681
109001784,18,18,検出する, , ,カルシウム, , , , ,カルシウム 発生する,681
109001784,18,18,検出する, , ,ナトリウム, , , , ,ナトリウム 発生する,681
109001790,0,7,満たす, , ,全ての分析項目の値, , , , ,全ての分析項目の値 満たす,692
109001790,0,20,良好, , , , ,潤滑状態, , ,潤滑状態 良好,692
109001790,1,1,係る, , , , , , ,特性低下特性低下,特性低下特性低下 係る,693
109001790,2,8,ある, , , ,当社推奨の管理限界値である±％以内, , , ,当社推奨の管理限界値である±％以内 ある,693
109001790,3,3,設定する, , ,管理限界値, , , , ,管理限界値 設定する,694
109001790,8,1,係る, , , , ,汚染, , ,摩耗 係る,695
109001790,13,9,ある, , , , ,良好の範囲, , ,良好な範囲 ある,696
109001790,13,13,良好, , , , ,潤滑箇所の潤滑状態, , ,潤滑箇所の潤滑状態 良好,696
109001790,14,5,検出する, , ,金属元素, , , , ,金属元素 検出する,697
109001790,14,8,発生する, , , ,潤滑箇所, , , ,潤滑箇所 適正,697
109001790,14,14,検出する,外部からの異物などの混入, , , , , , ,外部 混入する,697
109001790,15,5,混入する, ,外部, , , , , ,金属元素 検出する,697
109001790,15,12,検出する, , ,亜鉛, , , , ,亜鉛 析出する,697
109001790,15,12,検出する, , ,カルシウム, , , , ,カルシウム 発生する,697
109001790,15,12,検出する, , ,ナトリウム, , , , ,ナトリウム 発生する,697
109001797,0,4,ある, , , , ,潤滑油, , ,潤滑油 高い,707
109001797,0,4,ある, , , , ,軸受, , ,乗と軸受 ある,707
109001797,0,4,ある, , , , ,継続使用可能な状態, , ,潤滑油 ある,707
109001797,1,1,係る, , , , , , ,特性低下特性低下,特性低下特性低下 係る,708
109001797,2,8,ある, , , ,当社推奨の管理限界値である±％以内, , , ,当社推奨の管理限界値である±％以内 ある,708
109001797,3,3,設定する, , ,管理限界値, , , , ,管理限界値 設定する,709
109001797,8,1,係る, , , , ,汚染, , ,摩耗 係る,710
109001797,8,6,高い, , ,汚染粒子数, , , , ,汚染粒子数 汚染する,710
109001797,10,5,ある, , , ,当社推奨の管理限界値のNAS級以内, , , ,当社推奨の管理限界値のNAS級以内 ある,711
109001797,12,5,噛む, , ,異物, , , , ,異物 なる,712
109001797,12,6,発生する, , ,異物の込み, , , , ,異物の込み 発生する,712
109001797,12,9,厳しい, , ,金属接触, , , , ,金属接触 なる,712
109001797,12,13,検出する, , ,シビア粒子, , , , ,シビア粒子 発生する,712
109001797,13,6,高い, , , , , , ,異常摩耗の早期発見パラメータであるフェログラフィーのIs値がの乗,異常摩耗の早期発見パラメータであるフェログラフィーのIs値がの乗 高い,712
109001797,13,11,噛む, , ,異物, , , , ,異物 なる,712
109001797,13,12,発生する, , ,異物の込み, , , , ,異物の込み 発生する,712
109001797,13,15,厳しい, , ,金属接触, , , , ,金属接触 なる,712
109001797,13,19,検出する, , ,シビア粒子, , , , ,シビア粒子 発生する,712
109001797,14,5,混入する, ,外部, , , , , ,外部 混入する,712
109001797,14,10,検出する, , ,ケイ素, , , , ,ケイ素 増加する,712
109001797,15,5,発生する, , , ,潤滑箇所, , , ,潤滑箇所 適正,712
109001797,15,7,検出する, , , , , ,金属接触, ,金属接触 厳しい,712
109001797,15,10,混入する, ,外部,鉄, , , , ,外部 鉄 混入する,712
109001797,15,14,検出する, , ,ナトリウム, , , , ,ナトリウム 発生する,712
109001797,15,14,検出する, , ,マグネシウム, , , , ,マグネシウム 影響する,712
109001813,0,2,検出する,潤滑油の特性低下, , , , , , ,特性低下 係る,737
109001813,0,6,除去する, , ,汚染物, , , , ,潤滑油の特性低下 検出する,737
109001813,1,5,進行する, , ,酸化劣化, , ,鉛, ,酸化劣化の進行 潤滑油 進行する,737
109001813,1,5,進行する, , ,酸化劣化, , ,銅などの金属分, ,酸化劣化 鉛 銅などの金属分 進行する,737
109001813,2,1,係る, , , , , , ,特性低下特性低下,特性低下特性低下 係る,738
109001813,3,8,ある, , , ,当社推奨の管理限界値である±％以内, , , ,当社推奨の管理限界値である±％以内 ある,738
109001813,4,3,設定する, , ,管理限界値, , , , ,管理限界値 設定する,739
109001813,9,1,係る, , , , ,汚染, , ,摩耗 係る,740
109001813,9,6,高い, , ,汚染粒子数, , , , ,汚染粒子数 汚染する,740
109001813,9,10,上昇する, , ,当社推奨の管理限界値, ,汚染度物重量, , ,汚染度物重量 水分 上昇する,740
109001813,11,5,ある, , , ,当社推奨の管理限界値のNAS級以内, , , ,当社推奨の管理限界値のNAS級以内 ある,741
109001813,12,5,上昇する, , ,当社推奨の管理限界値のmg/ml, , , , ,当社推奨の管理限界値 上昇する,742
109001813,13,6,なる, , , , , , ,高温,高温 なる,743
109001813,13,11,混入する, ,外部, , , , , ,外部 混入する,743
109001813,13,14,検出する,砂等, , , , , , ,砂等 検出する,743
109001813,14,9,ある, , , , ,良好の範囲, , ,良好な範囲 ある,743
109001813,14,16,なる, , , , , , ,高温,高温 なる,743
109001813,14,21,混入する, ,外部, , , , , ,外部 混入する,743
109001813,14,24,検出する,砂等, , , , , , ,砂等 検出する,743
109001813,15,9,混入する,ppm,ppm,鉛, , , , ,鉛 鉄 混入する,743
109001813,15,9,混入する,ppm,ppm,銅, , , , ,銅 鉛 混入する,743
109001813,15,9,混入する,ppm,外部,鉛, , , , ,銅 鉛 混入する,743
109001813,15,9,混入する,ppm,外部,銅, , , , ,銅 鉛 混入する,743
109001813,16,5,発生する, , , ,潤滑箇所, , , ,潤滑箇所 適正,743
109001813,16,7,検出する, , , , , ,金属接触, ,金属接触 厳しい,743
109001813,16,13,混入する,ppm,外部,鉄, , , , ,外部 鉛 錫 混入する,743
109001813,16,13,混入する,ppm,外部,鉛, , , , ,外部 鉛 錫 混入する,743
109001813,16,13,混入する,ppm,外部,銅, , , , ,銅 鉛 混入する,743
109001813,16,18,検出する, , ,亜鉛, , , , ,亜鉛 析出する,743
109001813,16,18,検出する, , ,バリウム, , , , ,バリウム ある,743
109001813,16,18,検出する, , ,ナトリウム, , , , ,ナトリウム 発生する,743
109001817,0,2,検出する,潤滑油の特性低下, , , , , , ,特性低下 係る,749
109001817,0,6,除去する, , ,汚染物, , , , ,潤滑油の特性低下 検出する,749
109001817,2,1,係る, , , , , , ,特性低下特性低下,特性低下特性低下 係る,750
109001817,3,8,ある, , , ,当社推奨の管理限界値である±％以内, , , ,当社推奨の管理限界値である±％以内 ある,750
109001817,4,3,設定する, , ,管理限界値, , , , ,管理限界値 設定する,751
109001817,9,1,係る, , , , ,汚染, , ,摩耗 係る,752
109001817,9,7,到達する, , ,汚染粒子数, ,当社推奨の管理限界値, , ,汚染粒子数 到達する,752
109001817,9,11,上昇する, , ,当社推奨の管理限界値, ,汚染物重量, , ,汚染粒子数 汚染物重量 上昇する,752
109001817,11,5,到達する, , , , ,当社推奨の管理限界値のNAS級, , ,当社推奨の管理限界値 到達する,753
109001817,12,5,上昇する, , ,当社推奨の管理限界値のmg/ml, , , , ,当社推奨の管理限界値 上昇する,754
109001817,13,5,噛む, , ,異物, , , , ,異物 なる,755
109001817,13,6,発生する, , ,異物の込み, , , , ,異物の込み 発生する,755
109001817,13,9,厳しい, , ,金属接触, , , , ,金属接触 なる,755
109001817,13,15,なる, , , , , , ,高温,高温 なる,755
109001817,13,20,混入する, ,外部, , , , , ,外部 混入する,755
109001817,13,23,検出する,砂等, , , , , , ,砂等 検出する,755
109001817,14,6,高い, , , , , , ,異常摩耗の早期発見パラメータであるフェログラフィーのIs値がの乗,異常摩耗の早期発見パラメータであるフェログラフィーのIs値がの乗 高い,755
109001817,14,11,噛む, , ,異物, , , , ,異物 なる,755
109001817,14,12,発生する, , ,異物の込み, , , , ,異物の込み 発生する,755
109001817,14,15,厳しい, , ,金属接触, , , , ,金属接触 なる,755
109001817,14,21,なる, , , , , , ,高温,高温 なる,755
109001817,14,26,混入する, ,外部, , , , , ,外部 混入する,755
109001817,14,29,検出する,砂等, , , , , , ,砂等 検出する,755
109001817,15,9,混入する,ppm,ppm,鉛, , , , ,ppm ppm 鉛 混入する,755
109001817,15,9,混入する,ppm,ppm,銅, , , , ,銅 鉛 混入する,755
109001817,15,9,混入する,ppm,外部,鉛, , , , ,銅 鉛 混入する,755
109001817,15,9,混入する,ppm,外部,銅, , , , ,銅 鉛 混入する,755
109001817,16,5,発生する, , , ,潤滑箇所, , , ,潤滑箇所 適正,755
109001817,16,7,検出する, , , , , ,金属接触, ,金属接触 厳しい,755
109001817,16,13,混入する,ppm,外部,鉄, , , , ,外部 鉛 錫 混入する,755
109001817,16,13,混入する,ppm,外部,鉛, , , , ,外部 鉛 錫 混入する,755
109001817,16,13,混入する,ppm,外部,銅, , , , ,銅 鉛 混入する,755
109001817,16,20,検出する,ppm, ,亜鉛, , , , ,亜鉛 検出する,755
109001817,16,20,検出する,ppm, ,カルシウム, , , , ,カルシウム 検出する,755
109001817,16,20,検出する,ppm, ,バリウム, , , , ,バリウム 検出する,755
109001817,16,20,検出する,ppm, ,ナトリウム, , , , ,ナトリウム 検出する,755
109001831,0,7,満たす, , ,全ての分析項目の値, , , , ,全ての分析項目の値 満たす,783
109001831,0,20,良好, , , , ,潤滑状態, , ,潤滑状態 良好,783
109001831,1,1,係る, , , , , , ,特性低下特性低下,特性低下特性低下 係る,784
109001831,2,8,ある, , , ,当社推奨の管理限界値である±％以内, , , ,当社推奨の管理限界値である±％以内 ある,784
109001831,3,3,設定する, , ,管理限界値, , , , ,管理限界値 設定する,785
109001831,5,6,混入する, , ,冷媒ガス, ,酸化安定度, , ,冷媒ガス 潤滑油 混入する,786
109001831,5,6,混入する, , ,冷媒ガス, ,潤滑油, , ,冷媒ガス 潤滑油 混入する,786
109001831,6,1,溶け込む, , ,冷媒ガス, , , , ,冷媒ガス 酸化安定度 溶け込む,786
109001831,6,5,入れる, , ,溶け込んだ潤滑油, ,RBOT測定器の恒温槽, , ,溶け込んだ潤滑油 RBOT測定器の恒温槽 入れる,786
109001831,6,13,上昇する, , ,場合の最高圧力~MPa, , , , ,場合の最高圧力~MPa 溶け込んだ潤滑油 上昇する,786
109001831,7,6,上昇する, , ,RBOTの圧力計の上限値であるMPa, , , , ,RBOTの圧力計の上限値であるMPa 溶け込んだ潤滑油 上昇する,786
109001831,7,10,破損する, , ,圧力計, , , , ,RBOTの圧力計の上限値であるMPa RBOT する,786
109001831,7,14,なる, , , ,冷媒の溶存量, , ,危険な状態,冷媒の溶存量 危険な状態 なる,786
